cbsa_name,count
"Houston-The Woodlands-Sugar Land, TX",263061
"Dallas-Fort Worth-Arlington, TX",217916
"Santa Maria-Santa Barbara, CA",187339
"Riverside-San Bernardino-Ontario, CA",166319
"Denver-Aurora-Lakewood, CO",143907
"Las Cruces, NM",117138
"Gillette, WY",116934
"Detroit-Warren-Dearborn, MI",115142
"Los Angeles-Long Beach-Anaheim, CA",109382
"St. Louis, MO-IL",103771
"Tucson, AZ",97395
"Bishop, CA",96147
"El Paso, TX",95753
"Sacramento--Roseville--Arden-Arcade, CA",94760
"Chicago-Naperville-Elgin, IL-IN-WI",89759
"Rock Springs, WY",89443
"Beaumont-Port Arthur, TX",83387
"San Diego-Carlsbad, CA",81610
"Bakersfield, CA",78834
"Milwaukee-Waukesha-West Allis, WI",73051
"Oxnard-Thousand Oaks-Ventura, CA",72896
"Boston-Cambridge-Newton, MA-NH",71727
"New York-Newark-Jersey City, NY-NJ-PA",71557
"Portland-Vancouver-Hillsboro, OR-WA",70093
"Baltimore-Columbia-Towson, MD",60270
"Seattle-Tacoma-Bellevue, WA",60156
"Louisville/Jefferson County, KY-IN",58008
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",55178
"San Antonio-New Braunfels, TX",54768
"Fresno, CA",53556
"Corpus Christi, TX",52246
"Bridgeport-Stamford-Norwalk, CT",49890
"Providence-Warwick, RI-MA",48395
"Evansville, IN-KY",47617
"Billings, MT",44738
"Las Vegas-Henderson-Paradise, NV",43551
"Hartford-West Hartford-East Hartford, CT",42825
"Austin-Round Rock, TX",41864
"Visalia-Porterville, CA",40293
"Colorado Springs, CO",39293
"Kansas City, MO-KS",39022
"Salt Lake City, UT",38716
"Vernal, UT",38430
"Farmington, NM",34616
"Grand Rapids-Wyoming, MI",34546
"Ogden-Clearfield, UT",33926
"New Haven-Milford, CT",33801
"Washington-Arlington-Alexandria, DC-VA-MD-WV",33765
"Clearlake, CA",33166
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",33019
"Atlanta-Sandy Springs-Roswell, GA",32004
"Terre Haute, IN",31062
"Tulsa, OK",30174
"Baton Rouge, LA",30051
"El Centro, CA",29940
"Buffalo-Cheektowaga-Niagara Falls, NY",29429
"Helena, MT",28080
"Salinas, CA",26514
"Chico, CA",26196
"Santa Cruz-Watsonville, CA",25806
"Springfield, MA",25518
"San Jose-Sunnyvale-Santa Clara, CA",25442
"Fort Collins, CO",24821
"Stockton-Lodi, CA",24626
"Indianapolis-Carmel-Anderson, IN",23624
"Cincinnati, OH-KY-IN",23282
"Jackson, WY-ID",22338
"Knoxville, TN",22330
"Durango, CO",22118
"Riverton, WY",21979
"Albany-Schenectady-Troy, NY",21708
"Spokane-Spokane Valley, WA",20162
"Oklahoma City, OK",19908
"Bismarck, ND",19867
"Brownsville-Harlingen, TX",19538
"Lewiston, ID-WA",19406
"Flint, MI",19372
"Jamestown-Dunkirk-Fredonia, NY",19146
"Reno, NV",19041
"Albuquerque, NM",18833
"Pittsburgh, PA",18828
"Hilo, HI",18581
"Davenport-Moline-Rock Island, IA-IL",17565
"McAllen-Edinburg-Mission, TX",17447
"Weirton-Steubenville, WV-OH",17418
"Mount Vernon-Anacortes, WA",17390
"Grand Junction, CO",17281
"Minneapolis-St. Paul-Bloomington, MN-WI",17173
"Odessa, TX",17099
"Hanford-Corcoran, CA",17074
"Duluth, MN-WI",17044
"Evanston, WY",16843
"Syracuse, NY",16838
"South Bend-Mishawaka, IN-MI",16668
"Laredo, TX",16349
"Williston, ND",16304
"Worcester, MA-CT",16237
"Raleigh, NC",16158
"Kalamazoo-Portage, MI",15874
"Fort Wayne, IN",15647
"Sevierville, TN",14915
"Michigan City-La Porte, IN",13740
"Madera, CA",13587
"Burlington-South Burlington, VT",13426
"Salem, OH",13207
"Longview, TX",13180
"Yuba City, CA",12885
"Boise City, ID",12765
"Port Angeles, WA",12644
"Owensboro, KY",12600
"Huntington-Ashland, WV-KY-OH",12462
"Charlotte-Concord-Gastonia, NC-SC",12254
"Portland-South Portland, ME",12005
"Modesto, CA",12000
"Kinston, NC",11911
"Yakima, WA",11867
"Middlesborough, KY",11778
"Bowling Green, KY",11726
"Paducah, KY-IL",11633
"Redding, CA",11633
"Miami-Fort Lauderdale-West Palm Beach, FL",11620
"Flagstaff, AZ",11289
"Victoria, TX",11162
"Tyler, TX",10936
"Norwich-New London, CT",10854
"Coeur d'Alene, ID",10846
"Sheridan, WY",10812
"Sonora, CA",10798
"Lexington-Fayette, KY",10761
"St. George, UT",10727
"La Grande, OR",10661
"Rapid City, SD",10651
"Idaho Falls, ID",10621
"Augusta-Richmond County, GA-SC",10544
"Niles-Benton Harbor, MI",10453
"Holland, MI",10422
"Ludington, MI",10305
"Adrian, MI",10271
"Casper, WY",10203
"Laramie, WY",10189
"Sierra Vista-Douglas, AZ",10179
"Fairbanks, AK",10133
"Merced, CA",10083
"Rochester, NY",9990
"Torrington, CT",9986
"Greensboro-High Point, NC",9904
"Phoenix-Mesa-Scottsdale, AZ",9850
"Hermiston-Pendleton, OR",9820
"Muskegon, MI",9722
"Dickinson, ND",9651
"Richmond, IN",9624
"Cedar Rapids, IA",9575
"Grants Pass, OR",9549
"Kalispell, MT",9506
"Kingston, NY",9388
"Marshall, TX",9349
"Baraboo, WI",9207
"Klamath Falls, OR",9157
"Clinton, IA",9146
"Cheyenne, WY",9032
"Barnstable Town, MA",8945
"St. Joseph, MO-KS",8898
"Fargo, ND-MN",8770
"Utica-Rome, NY",8770
"Lansing-East Lansing, MI",8686
"Tampa-St. Petersburg-Clearwater, FL",8420
"Fayetteville, NC",8396
"Cadillac, MI",8361
"Glenwood Springs, CO",8316
"Winston-Salem, NC",8242
"Pocatello, ID",8053
"Ponca City, OK",7998
"Manitowoc, WI",7912
"Ann Arbor, MI",7904
"Provo-Orem, UT",7808
"Medford, OR",7760
"Manchester-Nashua, NH",7758
"Killeen-Temple, TX",7720
"Sheboygan, WI",7710
"Sandpoint, ID",7671
"Beaver Dam, WI",7661
"Trenton, NJ",7631
"Elmira, NY",7530
"New Castle, IN",7522
"Lafayette-West Lafayette, IN",7407
"Wausau, WI",7369
"Show Low, AZ",7141
"Kingsville, TX",7087
"Iron Mountain, MI-WI",6995
"Dalton, GA",6921
"Concord, NH",6908
"Tahlequah, OK",6898
"Racine, WI",6762
"Madison, WI",6674
"San Francisco-Oakland-Hayward, CA",6569
"Corsicana, TX",6541
"Bend-Redmond, OR",6480
"Seymour, IN",6282
"Whitewater-Elkhorn, WI",6198
"Bangor, ME",6171
"Fort Smith, AR-OK",6143
"Richmond, VA",6063
"Twin Falls, ID",6060
"Miami, OK",5996
"Point Pleasant, WV-OH",5912
"Eagle Pass, TX",5884
"Bay City, MI",5873
"Birmingham-Hoover, AL",5838
"Des Moines-West Des Moines, IA",5822
"Cleveland-Elyria, OH",5465
"Lubbock, TX",5425
"Columbus, GA-AL",5415
"Boulder, CO",5344
"Waterloo-Cedar Falls, IA",5333
"Rutland, VT",5290
"Berlin, NH-VT",5266
"Waco, TX",5154
"Little Rock-North Little Rock-Conway, AR",5078
"Portsmouth, OH",5057
"Wenatchee, WA",4972
"Amarillo, TX",4965
"Mayfield, KY",4949
"Steamboat Springs, CO",4766
"Bennington, VT",4706
"Walla Walla, WA",4659
"Crescent City, CA",4591
"Red Bluff, CA",4478
"Wichita, KS",4476
"Muskogee, OK",4453
"Eureka-Arcata-Fortuna, CA",4382
"Vincennes, IN",4344
"Hagerstown-Martinsburg, MD-WV",4279
"Traverse City, MI",4255
"New Orleans-Metairie, LA",4232
"Ionia, MI",4225
"Sioux Falls, SD",4223
"Greeley, CO",4216
"Lawton, OK",4153
"Columbia, SC",4132
"Craig, CO",4128
"Butte-Silver Bow, MT",4110
"Logan, UT-ID",4103
"Iowa City, IA",4096
"Muscatine, IA",4092
"Omaha-Council Bluffs, NE-IA",4074
"Moscow, ID",4056
"Dayton, OH",4021
"Laconia, NH",3954
"Springfield, MO",3944
"Corning, NY",3911
"Rockland, ME",3893
"Prineville, OR",3889
"Urban Honolulu, HI",3872
"Price, UT",3837
"Salem, OR",3817
"Claremont-Lebanon, NH-VT",3804
"Truckee-Grass Valley, CA",3771
"Champaign-Urbana, IL",3723
"Jackson, MS",3716
"Cambridge, MD",3701
"Keene, NH",3648
"Kennewick-Richland, WA",3480
"Memphis, TN-MS-AR",3471
"Bozeman, MT",3312
"Wichita Falls, TX",3208
"Carlsbad-Artesia, NM",3142
"Allentown-Bethlehem-Easton, PA-NJ",3045
"Olympia-Tumwater, WA",2918
"Monroe, MI",2916
"Greenfield Town, MA",2864
"Bloomington, IN",2779
"College Station-Bryan, TX",2681
"Auburn, IN",2622
"Sault Ste. Marie, MI",2462
"Clarksville, TN-KY",2423
"Malone, NY",2366
"Tallahassee, FL",2276
"Longview, WA",2179
"Texarkana, TX-AR",2172
"Charleston, WV",2096
"Saginaw, MI",2087
"Sioux City, IA-NE-SD",2077
"Minot, ND",2041
"Platteville, WI",1998
"Houghton, MI",1984
"Mobile, AL",1966
"Borger, TX",1948
"Big Spring, TX",1917
"Mount Pleasant, TX",1912
"Enid, OK",1904
"Aberdeen, WA",1881
"Bellingham, WA",1848
"Athens, OH",1826
"Lewiston-Auburn, ME",1824
"Staunton-Waynesboro, VA",1746
"Crawfordsville, IN",1669
"Sanford, NC",1657
"Alpena, MI",1644
"Glens Falls, NY",1634
"La Crosse-Onalaska, WI-MN",1606
"Marquette, MI",1548
"Cedar City, UT",1520
"Moses Lake, WA",1504
"Wisconsin Rapids-Marshfield, WI",1498
"Mason City, IA",1490
"Kahului-Wailuku-Lahaina, HI",1448
"Coos Bay, OR",1394
"Pittsfield, MA",1345
"Gardnerville Ranchos, NV",1190
"Savannah, GA",1185
"Marietta, OH",1160
"Jamestown, ND",1096
"Ca¤on City, CO",1070
"Gaffney, SC",1023
"Montrose, CO",982
"Scottsbluff, NE",896
"San Juan-Carolina-Caguas, PR",843
"Missoula, MT",752
"Mountain Home, ID",730
"Akron, OH",728
"Cullowhee, NC",675
"Janesville-Beloit, WI",669
"Salisbury, MD-DE",650
"Scranton--Wilkes-Barre--Hazleton, PA",607
"Green Bay, WI",565
"Macon, GA",535
"Ca?on City, CO",449
"Shelton, WA",449
"Cambridge, OH",407
"Appleton, WI",394
"Milledgeville, GA",388
"Huntington, IN",365
"Burley, ID",362
"Warsaw, IN",349
"Del Rio, TX",334
"Asheville, NC",314
"Blytheville, AR",272
"Shawnee, OK",259
"Taos, NM",249
"Alamogordo, NM",223
"Norwalk, OH",214
"Albany, OR",189
"Fredericksburg, TX",186
"Eau Claire, WI",179
"Elizabethtown-Fort Knox, KY",171
"Roseburg, OR",162
"Florence-Muscle Shoals, AL",148
"Fort Morgan, CO",138
"Escanaba, MI",122
"Washington, NC",92
"Ada, OK",90
"Toledo, OH",59
"Pueblo, CO",30
"Lake Havasu City-Kingman, AZ",7
