city_name,count
Not in a city,2357116
Houston,118991
El Paso,95753
Tucson,60974
Corpus Christi,59051
San Antonio,52188
Dallas,48510
Denver,41934
Capitan,40719
Milwaukee,36698
Detroit,34170
Lompoc,32880
Gaviota,29146
San Diego,28968
Fort Worth,28801
Middletown,27890
Arvada,27096
Billings,26360
Austin,25282
St. Louis,25010
Port Arthur,24865
Boston,23205
Sacramento,22968
Seattle,22638
New York,22035
Mexicali,21587
New Haven,21413
Indianapolis (Remainder),21103
Kansas City,20894
Baytown,20831
Fresno,20546
Tijuana,20057
Ciudad-Juarez,19726
Las Vegas,19352
Cobb,18993
Tulsa,18685
Hawaii Volcanoes National Park,18581
Marana,18092
Bakersfield,18075
Colorado Springs,17949
Odessa,17099
Beaumont,17048
Davenport,16943
Laredo,16349
Kemmerer,16233
Raleigh,16158
Visalia,15966
Spokane,15720
Midlothian,15707
Hammond,15314
Carpinteria,15304
Rochester,15190
New Albany,15067
Frisco,14748
Long Beach,14709
Lone Pine,14609
Philadelphia,14325
Vandenberg Air Force Base,14025
Bryson City (RR name Bryson),13925
Dune Acres,13797
Grand Rapids,13792
Michigan City,13740
Kalamazoo,13701
Nipomo,13629
Texas City,13393
Port Huron,13258
East Liverpool,13207
Washington,13177
Port Neches,13162
Los Angeles,13106
Jackson,13075
Cherry Tree,13061
Madera,12944
East Helena,12901
Tacoma,12665
Albuquerque,12662
Buffalo,12455
Franklin,12420
Charlotte,12162
Anaheim,11967
Burbank,11936
Channelview,11934
Kinston,11911
Fort Collins,11817
Tomball,11678
Los Padres National Forest,11658
Ladue,11607
Welby,11607
Longview,11597
Las Cruces,11590
Reno,11558
Calexico,11530
Deer Park,11482
Alpine,11470
West Orange,11454
Worcester,11388
Ware (census name for Ware Center),11365
Stockton,11350
La Porte,11298
Grand Junction,11182
Portland,11176
Victoria,11162
Joshua Tree National Monument,11111
Waukesha,11108
Danbury,11023
East Hartford,10979
Bloomfield,10915
Groton,10854
Smithland,10849
Waterbury,10833
Sonora,10798
Nicholasville,10761
Stafford (Stafford Hollow),10739
