county_code,count
005,257686
013,257191
037,226659
029,221929
083,221263
019,203577
201,201598
003,183241
001,170442
009,169419
033,158215
071,152500
027,149238
111,146801
059,137425
007,136263
031,119171
079,116477
073,110799
025,109148
141,108307
035,107827
113,106612
053,105845
163,104303
067,103494
043,100250
065,96906
087,93646
051,92189
047,84651
017,84638
041,77515
021,75579
077,75346
045,74604
245,74000
015,72034
039,71580
089,71532
011,67377
069,66233
049,64905
023,61912
107,61454
061,59136
081,58060
057,55619
439,54478
355,52246
099,51008
101,49820
139,48518
189,46728
002,46108
183,45750
097,39442
167,38668
453,38139
063,37947
055,35408
085,34626
121,31145
119,30243
105,29748
127,29452
103,28283
135,26897
091,26678
147,26486
510,25899
143,25328
173,24333
215,22862
109,22493
095,21496
125,21492
006,19726
093,19247
123,17640
213,17374
479,16349
133,15773
165,15559
177,15433
137,15219
155,15205
153,14528
129,13894
361,13393
117,12622
223,12392
251,12282
068,11775
469,11162
423,10936
086,10917
145,10564
090,10133
161,9490
247,9423
203,9349
115,8912
075,8854
257,8700
157,8407
339,8124
221,7935
367,7882
397,7858
209,7321
273,7087
231,6784
193,6594
349,6541
323,5884
303,5425
309,5154
149,5087
375,4965
131,4143
485,3208
243,2785
197,2566
191,2473
159,2265
185,2192
395,1967
020,1958
233,1948
195,1946
227,1917
449,1912
187,1684
401,1583
186,1454
199,1379
331,1278
315,1060
497,908
493,793
255,793
457,566
188,436
181,418
263,380
465,334
473,266
171,186
211,91
