date_of_last_change,count
2013-06-11,3320727
2013-06-10,1106141
2014-03-27,45968
2018-03-27,37337
2015-03-11,30002
2021-03-19,23193
2020-03-27,22361
2016-03-02,19295
2015-03-09,18427
2018-03-20,18351
2022-03-17,17863
2015-02-18,17775
2021-03-01,17274
2019-03-04,17014
2021-03-30,16943
2017-03-08,15606
2017-03-17,15286
2020-04-03,14806
2016-02-18,14562
2016-02-02,14495
2022-02-15,14105
2021-03-16,13737
2020-02-26,13481
2022-03-24,13392
2017-02-15,13222
2021-02-16,13129
2018-03-22,12239
2019-03-28,12157
2019-03-07,12056
2015-02-06,12054
2019-03-29,11868
2014-02-18,11754
2020-03-10,11661
2016-03-01,11571
2020-03-19,11535
2016-03-22,11439
2022-03-03,11388
2022-03-21,11141
2021-03-24,10952
2017-03-06,10844
2021-02-25,10789
2021-02-04,10698
2021-03-17,10663
2022-03-28,10568
2017-02-06,10547
2016-03-18,10476
2018-03-29,10397
2021-03-29,10317
2014-02-27,10239
2015-03-18,10181
2017-02-22,10142
2019-02-18,10125
2020-03-31,10116
2018-03-05,10049
2018-02-28,9959
2017-03-30,9956
2022-03-18,9925
2019-03-22,9654
2019-03-21,9547
2015-03-26,9541
2018-03-09,9154
2017-03-10,9075
2020-02-27,9071
2020-03-23,9033
2017-03-07,9029
2022-03-14,9001
2018-02-20,8997
2021-03-23,8855
2019-02-26,8728
2022-03-11,8609
2017-02-27,8575
2014-01-09,8448
2018-03-01,8410
2016-02-29,8393
2019-02-13,8358
2019-04-25,8349
2014-02-25,8179
2017-11-14,8155
2016-03-29,8106
2022-03-02,8081
2020-03-02,7986
2015-03-27,7983
2016-02-03,7951
2014-02-07,7811
2016-02-01,7764
2019-03-15,7761
2021-02-24,7744
2022-03-31,7714
2016-03-23,7701
2014-03-04,7692
2021-03-03,7664
2018-02-01,7641
2018-01-19,7507
2018-10-09,7422
2021-03-31,7358
2018-01-11,7322
2020-02-13,7310
2022-03-30,7300
2019-03-14,7300
2014-02-24,7297
2017-03-28,7257
2022-03-25,7256
2018-04-12,7223
2015-02-17,7201
2019-01-15,7193
2020-03-03,7168
2014-03-19,7156
2018-02-08,7141
2022-02-03,7062
2021-03-04,7050
2018-02-09,6982
2017-02-21,6963
2015-02-13,6944
2019-03-12,6928
2014-03-24,6913
2015-09-01,6879
2014-02-28,6855
2017-03-15,6848
2015-03-25,6800
2019-03-13,6782
2020-03-11,6768
2016-02-25,6724
2020-04-17,6596
2015-03-06,6543
2021-02-10,6512
2020-03-30,6510
2021-01-12,6505
2019-02-06,6505
2020-03-05,6459
2022-04-26,6410
2016-04-14,6391
2022-02-28,6332
2022-02-23,6271
2017-04-03,6249
2017-01-13,6225
2017-01-30,6208
2018-02-13,6201
2016-02-17,6187
2020-01-08,6163
2015-02-02,6161
2017-01-19,6108
2014-02-09,6096
2015-01-29,6089
2015-03-23,6027
2014-02-06,5994
2017-02-08,5869
2019-01-25,5836
2020-01-24,5833
2016-04-27,5777
2019-03-26,5775
2016-01-08,5758
2014-03-12,5720
2016-03-21,5693
2015-01-12,5647
2022-03-15,5536
2014-03-20,5486
2018-02-27,5473
2016-02-04,5468
2016-01-28,5454
2019-05-09,5452
2016-03-16,5452
2018-02-07,5448
2021-03-25,5437
2014-03-31,5426
2021-11-18,5415
2017-03-29,5412
2016-04-06,5381
2019-04-15,5369
2020-01-16,5368
2014-03-17,5356
2017-04-21,5350
2022-03-29,5309
2022-02-10,5276
2019-02-21,5275
2020-03-24,5264
2014-09-22,5171
2018-01-09,5131
2021-02-11,5112
2018-02-21,5108
2019-03-18,5085
2015-01-26,5082
2019-03-27,5075
2017-03-22,5054
2017-02-13,5025
2015-02-26,5022
2018-02-02,4994
2016-01-27,4985
2019-01-14,4967
2017-03-02,4882
2017-03-03,4854
2016-03-17,4849
2016-04-07,4843
2018-03-08,4827
2018-04-06,4808
2021-07-30,4806
2020-06-16,4782
2020-02-19,4733
2021-03-05,4718
2019-02-22,4718
2014-02-19,4695
2018-02-06,4689
2020-02-18,4662
2019-03-01,4603
2022-04-12,4581
2022-01-07,4553
2016-03-07,4529
2015-01-14,4517
2016-11-14,4501
2018-02-14,4495
2014-03-13,4490
2019-03-25,4469
2017-01-06,4466
2016-08-05,4437
2017-03-21,4378
2015-03-02,4375
2017-02-24,4375
2016-02-11,4373
2014-04-29,4372
2017-02-02,4363
2018-03-06,4327
2019-03-06,4317
2018-02-12,4315
2014-03-07,4313
2017-03-16,4309
2019-02-14,4294
2015-04-07,4292
2022-04-20,4277
2015-01-27,4267
2015-02-19,4190
2018-02-26,4187
2022-05-24,4179
2015-01-23,4166
2019-01-08,4099
2019-12-05,4087
2020-01-15,4077
2019-03-31,4015
2015-02-23,4014
2022-01-31,4009
2017-03-13,3991
