latitude,count
31.930659,19423
31.787885,18845
31.796218,18809
32.041212,18702
29.30265,18168
41.7575,16233
35.856111,16158
38.361443,15105
38.266167,15067
39.923645,15067
39.528371,15036
45.521846,14935
41.754697,14619
31.79594,14598
35.434767,13925
35.750735,13061
32.424813,12980
39.912799,12265
40.57747,11817
41.784944,11779
27.76534,11756
36.48324,11731
30.039524,11678
34.54166,11658
30.036422,11640
40.53999,11633
29.901036,11609
39.838119,11607
41.677667,11587
44.6522,11577
29.51509,11574
40.27813,11558
42.719,11508
32.174538,11480
30.085263,11454
34.48974,11435
39.751184,11412
29.897516,11400
38.5231,11399
39.800333,11394
35.63348,11375
42.298493,11365
32.204411,11345
47.568236,11290
32.425261,11255
29.733726,11223
45.786579,11210
32.04767,11178
32.20739,11172
41.399167,11023
41.784722,10979
25.39122,10917
36.742227,10915
36.796667,10907
36.809735,10872
37.07151,10849
41.550556,10833
38.921847,10776
19.4308,10769
37.89147,10761
29.623889,10751
41.976389,10739
29.767997,10702
39.567887,10691
43.460556,10621
42.529999,10599
38.45832,10597
36.60843,10558
39.638781,10523
37.1984,10521
34.52744,10514
36.708607,10453
39.310833,10386
42.731394,10381
34.06957,10373
42.19779,10361
45.25928,10356
30.461981,10351
25.892518,10345
43.047224,10345
42.984173,10323
42.463063,10304
34.210169,10290
41.995568,10271
41.634104,10269
42.953336,10263
42.767786,10258
42.274319,10255
43.44957,10252
34.63782,10246
34.276316,10239
34.25239,10232
34.44551,10214
38.650329,10190
31.785769,10165
40.63152,10111
47.304444,10089
42.894451,10010
37.281853,10007
41.1525,10004
41.841039,9990
34.718871,9980
35.051454,9974
41.373097,9972
39.410191,9968
38.63114,9964
40.74316,9962
43.836388,9961
36.819449,9928
34.725352,9918
44.502675,9860
41.05192,9836
37.71325,9811
34.41639,9792
39.00512,9732
35.503587,9726
43.278061,9722
34.291257,9718
34.10374,9716
36.597442,9661
40.05671,9658
35.696758,9580
32.482083,9540
41.004657,9515
39.047911,9508
40.206291,9506
48.5103,9506
38.85022,9497
38.84846,9496
43.05235,9494
36.05864,9481
32.676451,9479
38.613779,9475
34.89398,9471
36.508611,9460
33.588545,9423
41.221437,9393
42.14403,9388
45.522027,9348
33.99958,9343
44.56536,9318
42.7907,9312
33.6878,9309
48.41252,9307
41.615237,9249
43.081667,9247
