local_site_name,count
UTM COORDINATES AT MET TOWER,23130
6O La Union,19423
6ZN Santa Teresa,18845
6ZM Desert View,18809
6ZK Chaparral,18702
Big Bend NP - K-Bar Ranch Road,17050
NAUGHTON POWER PLANT PM10 SITE .25 MILE EAST OF POWER PLANT,16233
Millbrook School,16158
PSI/ Duke Energy  Gibson Network- Gibson Tower,15105
PSI/ Duke Energy- Cayuga Network/ Cayuga Tower,15067
PSI-Gallagher,15067
PSI/ Duke Energy- Wabash River Network/ Wabash Tower,15036
Portland - KPTV,14935
Jim Bridger Meteorological Station,14619
Bryson City,13925
STILWELL,13061
6ZL Holman Road,12980
ROCKY FLATS-N,12265
Lenoir Co. Comm. Coll.,11911
Fort Collins - CSU - S. Mason,11817
Sinclair Refinery Meteorological Station,11779
Corpus Christi West,11756
Northwest Harris County,11678
NIPSCO Dunes Acres,11672
Paradise Road,11658
Beaumont Downtown,11640
Keller,11637
Corpus Christi Tuloso,11625
Fort Worth Northwest,11612
Houston Aldine,11609
Ladue,11607
Welby,11607
Longview,11597
Wamsutter,11587
Thunder Basin,11577
San Antonio Northwest,11574
Carpinteria,11528
Boulder,11508
SAGUARO PARK,11480
West Orange,11454
Lompoc Odor,11437
Los Flores Canyon #1,11435
El Paso UTEP,11419
DENVER - CAMP,11412
Port Arthur West,11400
ARVADA,11394
QUABBIN RES,11365
22ND & CRAYCROFT,11345
Dallas Hinton,11296
SEATTLE - BEACON HILL,11290
TANGERINE,11255
Clinton,11223
COBURN ROAD,11210
Lompoc HSP,11197
FAIRGROUNDS,11178
22ND & ALVERNON,11172
Victoria,11162
HAMMOND CAAP- Hammond- 141st St.,11027
Western Conn State Univ,11023
McAuliffe Park,10979
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,10917
1ZB Bloomfield,10915
1H Substation,10907
Frisco,10857
BLOODWORTH,10849
Liberty,10847
Meadow and Bank Streets,10833
MCMILLAN  NCore-PAMS,10776
Hawaii Volcanoes NP - Kilauea Visitors Center,10769
NICHOLASVILLE,10761
Houston Croquet,10751
Greenwich Point Park,10708
Houston East,10702
HIGHLAND RESERVOIR,10691
Thousand Oaks,10655
Simi Valley-Cochran Street,10604
South Pass,10599
El Rio-Rio Mesa School #2,10595
Capitol,10565
MIDDLESBORO,10558
WELCH,10523
Alpine,10522
Nojoqui,10514
FRANKLIN,10453
Essex,10386
New Haven,10381
Great Smoky Mountains NP - Look Rock,10359
CARUS TRAILER/SPANGLER RD,10356
Brownsville,10345
Denali NP & PRES - Headquarters,10329
Pinnacles NP - Southwest of East Entrance Station,10327
Oak Park,10304
Joshua Tree NP - Black Rock,10282
Mesa Verde NP - Resource Management Area,10279
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",10271
Port Huron,10263
Holland,10258
WORCESTER AIRPORT,10255
PISECO LAKE,10252
Lompoc H Street,10246
VAFB South Base,10240
Goleta,10214
Lassen Volcanic NP - Manzanita Lake Fire Station,10204
Chiricahua NM - Entrance Station,10179
Craters of the Moon NM & PRES - Visitor Center,10170
Ivanhoe,10165
Canyonlands NP - Island in the Sky,10121
Rocky Mountain NP - Long's Peak,10111
TACOMA - TOWER DR,10089
Shenandoah NP - Big Meadows,10028
Jenison,10010
Merced-Coffee,10007
 FRANCIS SCHOOL East Providence,9990
Maricopa,9974
Murphy Ridge,9972
Edgewood,9968
Forest Park,9964
EISENHOWER PARK,9962
RURAL THUMB AREA OZONE SITE,9961
Clovis-Villa,9928
Azusa,9886
Buckskin Mine North Site & PRB-PM2.5 Network,9860
WHITE PLAINS,9836
CHIWAUKEE PRAIRIE STATELINE,9828
Yosemite NP - Turtleback Dome,9811
Hesperia-Olive Street,9792
Shafter,9726
"SITE IN SIMI VALLEY LANDFILL. NEAREST TRAFFIC HWY 118, SO, 1/2 MI.",9718
Upland,9716
Parlier,9661
Great Basin NP - Maintenance Yard,9610
Great Smoky Mountains NP - Cove Mountain,9580
Midlothian OFW,9540
Ojai - East Ojai Ave,9535
"Blue Ridge, I-70",9508
Glacier NP - West Glacier Horse Stables,9506
609 60TH AVE. SW,9501
HOBERG-PINE SUMMIT,9497
GLENBROOK,9496
EAST SYRACUSE,9494
Grand Canyon NP - The Abyss,9481
Dallas Redbird Airport Executive,9479
Sacramento-Del Paso Manor,9475
Barstow,9471
Death Valley NP - Park Village,9442
Conyers,9423
NIPSCO Schahfer,9393
BELLEAYRE MOUNTAIN,9388
Rubidoux,9343
Yellowstone NP - Water Tank,9318
Daniel South,9312
South DeKalb,9309
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,9309
Voyageurs NP - Sullivan Bay,9307
AJ,9249
Spring Creek,9247
Odessa-Hays Elementary School,9231
Mission,9222
El Capitan,9212
Portland - SE Lafayette,9208
ANDERSON SPRINGS,9168
Houston Deer Park #2,9159
Klamath Falls - Peterson School,9157
Los Angeles-North Main Street,9153
San Bernardino,9121
DEL NORTE HIGH SCHOOL,9118
Fresno-Sky Park,9092
Indpls- Harding St.,9079
El Paso Chamizal,9078
"TRAFFIC, RURAL PAVED ROAD",9076
KALAMAZOO FAIRGROUNDS,9075
Hollister,9059
Keeler,9048
Edison,9046
LYNN WATER TREATMENT PLANT,9038
Austin Audubon Society,9035
Clute,9027
Mammoth Cave NP - Houchin Meadow,9023
Placerville-Gold Nugget Way,8999
San Andreas-Gold Strike Road,8998
"Lakeview, CENTER & M ST.  (LCM)",8991
Oildale,8983
Corpus Christi Huisache,8982
WESTOVER AFB,8959
Sacramento-1309 T Street,8945
TRURO NATIONAL SEASHORE,8945
Channelview,8938
MCFARLAND HILL Air Pollutant Research Site,8937
St. Joseph Pump Station,8898
Camp Pendleton,8887
Phelan-Beekley Road & Phelan Road,8872
DEVILS LAKE PARK,8858
HARRINGTON BEACH PARK,8853
Sonora-Barretta Street,8846
Jackson-Clinton Road,8845
Yuba City,8831
Carmel Valley,8830
Stockton-Hazelton,8826
Mesa2,8776
NICKS LAKE,8770
Madera-Pump Yard,8768
Paso Robles,8761
CHILDREN'S PARK NCore,8744
Denton Airport South,8729
Santa Cruz,8724
FARGO NW,8715
Sequoia & Kings Canyon NPs - Lower Kaweah,8713
ST. PHILLIPS- St. Phillips road CAAP trailer,8710
Juel Spring,8694
Chula Vista,8682
Banning Airport,8679
Houston Bayland Park,8675
HANNOVER,8666
Davis-UCD Campus,8653
Calaveras Lake,8636
Visalia-Church,8617
WHITEFACE BASE,8594
WESTFIELD,8594
Bakersfield-California,8584
Mendenhall School,8570
BEULAH NORTH,8528
Folsom-Natoma St.,8523
Camp Bullis,8505
Houston Westhollow,8501
Roseville-N Sunrise Ave,8479
Lone Pine MET,8475
Moxa Arch,8472
US-EPA Laboratory,8469
Baytown,8464
Modesto-14th Street,8462
"AT UABC, CORNER OF CALZADA BENITO JUAREZ & AVENIDA NORMAL, MEXICALI",8456
Fair Hill Natural Resource Management Area,8436
Laredo Vidaurri,8400
William Owen School,8396
Millington,8395
Antelope Mine Meteorological Station,8393
Trona - Athol/Telescope #2,8388
Padonia,8371
PAINTED CANYON,8370
Dallas North #2,8367
LOCATED ABOUT 1/4 MILE WEST OF SITE,8361
Colusa-Sunrise Blvd,8358
GRAYSON LAKE,8356
CETL - Cape Elizabeth Two Lights (State Park),8348
STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,8326
Great Smoky Mountains NP - Cade's Cove,8319
MILWAUKEE UWM-NORTH,8301
SHEPHERDSVILLE,8296
STATION LOCATED NEAR INTERSECTION OF 6000 SO & 10000 WEST,8290
Union Cross,8242
Hawthorne,8232
