longitude,count
-106.631103,19423
-106.683324,18845
-106.584434,18809
-106.40971,18702
-103.17781,18168
-110.57833,16233
-78.574167,16158
-85.84107,15067
-87.435566,15067
-87.428342,15036
-122.749289,14935
-108.800341,14619
-106.558044,14598
-83.442133,13925
-94.669697,13061
-106.674724,12980
-105.188587,12265
-105.07892,11817
-107.114472,11779
-148.9676,11775
-97.434262,11756
-121.15688,11731
-95.673951,11678
-119.79146,11658
-94.071061,11640
-121.57646,11633
-95.326137,11609
-104.94984,11607
-108.024835,11587
-105.2903,11577
-98.620166,11574
-105.54564,11558
-109.753,11508
-110.737116,11480
-93.761341,11454
-120.04692,11435
-104.987625,11412
-93.991084,11400
-78.43471,11399
-105.099973,11394
-83.941606,11375
-72.334079,11365
-110.878067,11345
-96.860117,11296
-122.308628,11290
-111.06352,11255
-95.257593,11223
-108.45878,11210
-110.774357,11178
-110.910619,11172
-73.443056,11023
-72.631667,10979
-80.680819,10917
-107.977567,10915
-108.473138,10907
-107.652192,10872
-96.786419,10857
-88.33389,10849
-73.043611,10833
-77.013178,10776
-155.2578,10769
-84.58825,10761
-95.474167,10751
-95.220582,10702
-104.957193,10691
-113.562222,10621
-108.720003,10599
-109.82126,10597
-105.13948,10523
-108.49046,10521
-120.1965,10514
-86.566284,10453
-106.847222,10428
-82.793463,10381
-116.38893,10373
-86.309694,10361
-122.588151,10356
-91.179219,10351
-83.670159,10345
-97.49383,10345
-83.183199,10304
-118.870509,10290
-83.946559,10271
-87.101452,10269
-82.456229,10263
-86.148577,10258
-71.875511,10255
-74.51625,10252
-120.4575,10246
-118.683685,10239
-119.143182,10232
-119.8284,10214
-90.350313,10190
-109.38906,10179
-106.323578,10165
-80.547125,10111
-122.412,10089
-119.457914,10067
-85.852734,10010
-120.433671,10007
-73.103056,10004
-71.36097,9990
-120.432663,9980
-119.40262,9974
-111.042376,9972
-90.28115,9964
-73.58549,9962
-82.6429,9961
-119.716433,9928
-120.428717,9918
-117.92391,9886
-105.539763,9860
-73.76366,9836
-119.7062,9811
-117.2858,9792
-114.21593,9732
-119.272606,9726
-86.311083,9722
-118.79765,9718
-117.62914,9716
-119.503659,9661
-109.688108,9658
-83.609612,9580
-97.026899,9540
-73.585128,9515
-94.450513,9508
-109.353932,9506
-113.99681,9506
-122.7362,9497
-122.75797,9496
-76.05921,9494
-112.1836,9481
-96.87206,9479
-121.368014,9475
-117.024804,9471
-116.847778,9460
-84.069608,9423
-87.027765,9393
-74.49431,9388
-122.749527,9348
-117.41601,9343
-110.40034,9318
-110.0551,9312
-92.829225,9307
-71.72,9249
-107.549444,9247
-98.291069,9222
-120.02551,9212
-122.602877,9208
-122.6995,9168
-95.128508,9159
-121.731369,9157
-118.22688,9153
-117.274063,9121
-106.5852,9118
-119.874739,9092
-106.455227,9078
-121.668811,9076
-85.54189,9075
-121.3621,9059
-117.871036,9048
-118.851825,9046
-70.970816,9038
-95.397744,9027
-83.461541,9027
-120.631315,9009
-120.821916,8999
-120.680277,8998
-120.353969,8991
-119.016787,8983
-72.555112,8959
-121.49311,8945
-95.125495,8938
-68.2609,8937
-94.858584,8898
-117.5898,8872
-120.378551,8846
-120.764426,8845
-121.618549,8831
-121.73333,8830
-121.268523,8826
-120.56388,8776
-120.010158,8768
-120.656912,8761
-110.9823,8744
-97.196284,8729
-121.98822,8724
-96.85535,8715
-118.7777,8713
-109.560498,8694
-116.85841,8679
-95.499219,8675
-101.428056,8666
-121.7734,8653
-98.311692,8636
-119.291228,8617
-79.58961,8594
-73.8589,8594
-119.062613,8584
-79.802314,8570
-87.74863099999999,8536
-101.766944,8528
-121.164457,8523
-98.564936,8505
-95.635833,8501
-121.26498,8479
-86.294415,8477
-118.047709,8475
-109.788333,8472
-71.423705,8469
-95.031232,8464
-120.994212,8462
-99.515222,8400
-105.34944,8393
-85.416608,8390
-117.3714,8388
-103.37853,8370
-96.808498,8367
-84.891865,8361
-121.99887,8358
-82.9881,8356
-70.207324,8348
-72.630015,8334
-109.906796,8326
-83.783611,8319
-87.884,8301
-110.182742,8290
-109.766971,8226
-84.945866,8219
-119.970609,8205
-106.402806,8189
-71.0826,8161
-102.90811,8155
-106.668643,8142
-107.62863,8052
-120.66804,8049
-101.76628,8047
-104.778334,8032
-121.623271,7997
-94.317802,7984
-76.633543,7967
-83.2082,7961
-121.420838,7951
-112.048831,7948
-97.803529,7935
-106.425827,7932
-97.436742,7926
-118.96652,7919
-99.502984,7918
-97.477175,7893
-97.905931,7882
-121.77278,7878
-97.063721,7877
-106.288,7865
-118.80998,7858
-96.459211,7858
-117.32554,7850
-116.937772,7843
-94.377014,7835
-85.101816,7814
-107.870219,7802
-83.148754,7777
-122.9102,7760
-106.108889,7704
-118.947738,7695
-96.317687,7671
-116.556656,7671
-117.993002,7662
-103.2995,7658
-119.56565,7652
-116.942092,7642
-103.969373,7638
-86.907786,7634
-86.186269,7618
-105.003604,7602
-85.832955,7555
-122.7721,7540
-91.056068,7540
-106.767781,7535
-76.80221,7530
-122.12429,7519
-87.075307,7513
-74.12525,7511
-112.095767,7484
-95.015544,7467
-92.07118,7463
-117.67593,7411
-95.425128,7406
-79.31881,7389
-84.534633,7360
-119.393071,7349
-75.78444,7344
-104.191944,7324
-118.823033,7304
-91.315418,7303
-80.64986,7296
-73.9389,7293
-72.55,7283
-118.82915,7283
-95.392509,7279
-94.786969,7279
-118.31712,7277
-112.233281,7261
-106.4597,7249
-77.568792,7227
-118.147294,7209
-85.04534,7206
-117.93845,7199
-106.501045,7182
-116.236667,7175
-118.130511,7174
-90.198348,7146
-109.89249,7141
-121.617309,7124
-104.017708,7118
-96.797686,7072
-97.465703,7057
-110.098861,7051
-105.165611,7040
-102.5273,7029
-85.950227,7019
-118.5284,7013
-73.75733,7000
-120.04498,6966
-84.626423,6921
-118.18921,6920
-94.985964,6898
-117.128752,6887
-73.297257,6884
-110.702153,6871
-116.0275,6865
-82.64041,6853
-75.011944,6852
-110.99644,6849
-110.980134,6848
-112.564687,6843
-95.293622,6840
-111.12716,6837
-120.075069,6837
-96.115572,6784
-72.388056,6782
-102.4018,6780
-86.994,6777
-93.952866,6772
-108.619,6770
-83.132086,6752
-78.77153,6748
-97.298692,6746
-105.00518,6708
-87.668297,6687
-108.56155,6684
-86.553035,6679
-106.420556,6673
-113.1506,6664
-115.48307,6658
-105.070358,6650
-95.472946,6646
-87.748631,6569
-106.557247,6565
-115.447769,6524
-123.348466,6521
-105.425474,6520
-79.012,6502
-71.097163,6491
-87.810047,6473
-76.74417,6454
-116.214563,6442
-105.030681,6438
-76.474444,6427
-93.895928,6390
-120.435611,6387
-71.10229,6378
-121.843286,6368
-83.73694,6358
-95.079444,6326
-95.249943,6324
-88.21507,6305
-103.48386,6289
-106.464744,6286
-86.080523,6282
-106.519466,6270
-107.484167,6264
-97.03135,6262
-106.36501,6236
-73.88083,6232
-105.343559,6226
-116.8062,6209
-118.417478,6195
-112.233973,6190
-87.8093,6169
-78.953112,6152
-94.57079,6149
-118.049167,6134
-71.11397,6105
-73.194722,6092
-117.358121,6070
-84.213398,6066
-119.77319,6055
-119.314557,6051
-100.76821,6037
-121.9379,6036
-72.065,6032
-109.640283,6027
-117.861369,6012
-119.741332,6005
-86.001629,6000
-115.504995,5997
-119.2313,5987
-84.852637,5981
-76.296946,5981
-76.878333,5976
-85.671339,5968
-94.00077,5967
-86.142953,5960
-80.785683,5950
-90.226488,5947
-84.2905,5939
-90.688451,5927
-97.431553,5917
-117.943927,5913
-95.044951,5912
-94.03474,5911
-102.334745,5906
-97.088598,5905
-94.711813,5902
-102.342066,5901
-112.117167,5901
-105.837778,5898
-97.875084,5895
-97.282099,5894
-97.555387,5889
-97.005525,5889
-118.785374,5887
-94.167468,5886
-95.415754,5886
-70.023598,5885
-97.712891,5884
-100.451156,5884
-83.890721,5873
-97.356529,5870
-90.587611,5870
-73.82153,5867
-94.693518,5854
-75.797317,5851
-85.52347,5846
-117.059088,5832
-87.799227,5831
-116.768293,5828
-93.643118,5822
-87.493609,5818
