method_name,count
INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,5234978
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,1093729
INSTRUMENTAL - SPOT READING,216670
Instrumental - Met One 083D,180791
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 2,177415
Instrumental - Vaisala 435C RH/AT Sensor,135747
Instrumental - Vaisala HMP 155,65259
Instrumental - Visual average,47210
INSTRUMENTAL - SPOT READING LEVEL 2,28527
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 3,22405
Instrumental - Rotronic HC2-S3,12569
Instrumental - Met One AIO2 Sonic Weather Sensor,10361
Instrumental - Off Site temperature sensor,8383
INSTRUMENTAL - SPOT READING LEVEL 1,5144
Instrumental - TVA Last 5-min. average,4925
Instrumental - Visual average level 1,3221
Instrumental - Electronic or machine average level 4,1407
Instrumental - R & P TEOM 1400ab,364
