site_num,count
0003,362759
0002,319204
0004,278407
0005,270147
0001,259639
0007,226773
0006,169312
0008,159777
0009,129340
0014,125320
0011,121562
0101,121049
1002,105828
0017,105165
0021,100342
0020,99111
0019,98204
0012,95480
0010,89688
1004,76876
1003,71839
1001,71233
3001,69475
0013,63642
0022,63504
0016,61786
0018,59859
2002,57661
8001,53091
0026,52424
2004,51926
0015,51221
2003,43059
0034,41626
5001,41605
6001,40325
1005,38548
4001,37540
1008,35587
1007,35494
0030,33626
1014,33438
1018,33343
0024,32786
0100,31870
0025,31419
4002,30250
0029,29289
0043,29072
0102,28534
1011,28480
1010,27921
0023,27798
0099,27691
0041,27628
0057,27071
0032,26685
9002,26585
0075,26398
0051,26181
0042,26145
1006,25622
1016,23222
0027,23072
3003,23021
1028,22997
1034,22842
9001,21701
2006,21279
2001,20953
0103,20795
0044,20666
0080,20498
0500,20107
0066,19711
1037,19545
0055,19438
1013,19019
1015,18825
0028,18246
0232,18230
9004,18132
4003,18092
1009,17780
2005,16983
0069,16871
3011,16845
1080,16842
1035,16779
1025,16657
0058,16396
0820,16233
2008,16189
1123,16144
1012,16127
7001,15962
3002,15460
0037,15118
4004,15071
1021,14918
0067,14839
2851,14619
0050,14499
0039,14341
1020,14244
3005,13705
1023,13550
1022,13456
9003,13455
2007,13205
0123,13131
9009,13061
0059,13008
0085,12870
1032,12566
2010,12348
0307,12199
0094,12165
0124,12075
0087,12003
0078,11868
0033,11838
0851,11779
0119,11629
0200,11587
3009,11482
0104,11437
0060,11244
1017,10871
2123,10833
3010,10820
0802,10665
0053,10642
0047,10611
0052,10540
0040,10275
2011,10214
0073,10083
8005,10048
3007,10004
1899,9860
0113,9606
5005,9507
3012,9497
0036,9385
0121,9369
1039,9159
0901,9156
1103,9153
1024,9136
7003,9128
0242,9092
0501,9023
1050,9005
0046,8940
1000,8828
0054,8697
7022,8510
0300,8472
2819,8393
1234,8388
7011,8290
0849,8226
0762,8025
0900,7990
0721,7958
3000,7956
0700,7941
0081,7882
0306,7850
0083,7780
0761,7716
0760,7639
1030,7610
7002,7592
9997,7484
6000,7470
2022,7411
9008,7346
1065,7185
9033,7174
2009,7129
0111,7118
1033,7115
6012,7013
1026,6998
1019,6913
0201,6871
0314,6805
0077,6770
0130,6664
0114,6640
0048,6619
1081,6536
0879,6520
8003,6454
6002,6447
1082,6329
9014,6324
0132,6289
9010,6262
2909,6226
0898,6027
0108,5906
0045,5888
4201,5831
0416,5810
0814,5747
0815,5683
0070,5654
0907,5650
0800,5544
0922,5413
0091,5385
0061,5374
0456,5297
1602,5281
1044,5264
8006,5242
2860,5159
0857,5119
1111,5096
1115,5076
0068,5014
1031,4994
0676,4945
1112,4937
1043,4932
0722,4929
0423,4895
2908,4832
1110,4749
1895,4748
0072,4742
1073,4717
0738,4712
0097,4665
1047,4647
1051,4607
1302,4519
0862,4421
0122,4415
2014,4287
9021,4270
0701,4256
6011,4251
3006,4228
6005,4206
2000,4203
6006,4184
6009,4184
0702,4174
0174,4164
0651,4153
0540,4137
0175,4112
0038,4102
0178,4038
0561,4035
5002,4027
0677,4006
1127,3995
1601,3990
0096,3975
5010,3974
0144,3946
1102,3921
0693,3920
0062,3887
0093,3826
0298,3776
0235,3687
6004,3577
2601,3546
0064,3542
1040,3521
2012,3461
6016,3326
1027,3291
0315,3208
0614,3170
1045,3073
9005,3022
1301,3012
0222,2994
1069,2968
0726,2959
0996,2957
4006,2955
0763,2951
1066,2951
0056,2948
0167,2938
1999,2893
1067,2888
1068,2879
0179,2853
0098,2812
1376,2769
4005,2734
3013,2708
0071,2647
0106,2629
2059,2593
0035,2577
1053,2549
0448,2513
0703,2497
8002,2496
1052,2492
1501,2465
0714,2446
0105,2442
1046,2436
0133,2425
0325,2252
6013,2239
4008,2236
2016,2189
1502,2130
1041,2121
1113,2035
0031,2026
2013,2000
0076,1983
1049,1981
9006,1977
0870,1968
1076,1967
1083,1939
1071,1926
1072,1917
1078,1912
1079,1911
0555,1904
1077,1904
0905,1888
5004,1881
0137,1872
7004,1782
0891,1771
6018,1696
0426,1680
5632,1641
1084,1586
9007,1574
0909,1541
0826,1535
0912,1535
0117,1533
1240,1508
9015,1507
0914,1499
0913,1496
0109,1484
1036,1484
0095,1455
0895,1453
1048,1441
0187,1350
0911,1329
0188,1301
0107,1286
8110,1280
1075,1278
0613,1278
0110,1262
0170,1200
4010,1197
1201,1157
3004,1145
0892,1096
1917,1000
1801,984
0801,933
0622,912
0704,911
0088,908
9020,900
0706,887
1087,844
3015,823
0207,813
1038,793
1070,793
0899,747
1100,731
5602,730
0425,730
0089,718
1086,714
0819,713
3014,694
9025,671
0234,670
9027,634
1190,618
9029,607
7015,578
3016,494
6003,485
2017,432
2019,431
0711,424
3105,396
3102,396
3101,396
4009,393
3104,391
3103,387
0602,366
0299,366
9024,365
9028,351
9018,329
9019,315
0709,308
9000,276
6318,274
9023,259
0065,254
9016,249
0082,242
0243,231
9017,223
0244,222
7630,214
7631,214
7632,214
9107,189
7020,184
4007,184
7021,184
0903,183
0930,163
0904,153
0090,127
0217,92
0151,92
2841,91
0428,91
9030,90
5009,76
0601,59
8007,46
1090,31
