state_code,count
06,1431594
48,1008767
56,468096
26,318150
08,316670
18,289079
30,212760
36,211915
55,194807
35,174201
53,165458
49,164704
21,148253
09,147356
29,144832
04,136600
41,133132
38,132935
25,128796
40,113019
16,112611
24,111137
37,95031
32,75287
19,74694
23,66760
80,65834
13,57372
39,54546
33,41542
47,41045
17,37806
44,36031
22,34283
42,33760
27,30576
51,25233
34,24534
15,23901
50,23422
02,22344
12,22316
46,19551
20,17264
11,13177
01,9996
54,9682
05,5716
10,5598
45,5155
31,4970
28,4006
78,1958
72,843
