state_name,count
California,1431594
Texas,1008767
Wyoming,468096
Michigan,318150
Colorado,316670
Indiana,289079
Montana,212760
New York,211915
Wisconsin,194807
New Mexico,174201
Washington,165458
Utah,164704
Kentucky,148253
Connecticut,147356
Missouri,144832
Arizona,136600
Oregon,133132
North Dakota,132935
Massachusetts,128796
Oklahoma,113019
Idaho,112611
Maryland,111137
North Carolina,95031
Nevada,75287
Iowa,74694
Maine,66760
Country Of Mexico,65834
Georgia,57372
Ohio,54546
New Hampshire,41542
Tennessee,41045
Illinois,37806
Rhode Island,36031
Louisiana,34283
Pennsylvania,33760
Minnesota,30576
Virginia,25233
New Jersey,24534
Hawaii,23901
Vermont,23422
Alaska,22344
Florida,22316
South Dakota,19551
Kansas,17264
District Of Columbia,13177
Alabama,9996
West Virginia,9682
Arkansas,5716
Delaware,5598
South Carolina,5155
Nebraska,4970
Mississippi,4006
Virgin Islands,1958
Puerto Rico,843
