address,count
"BIG BEND NATIONAL PARK, TEXAS",36186
"Hawaii Volcanoes National Park, HI 96718",35070
PARADISE RD-LOS PADRES National Forest,23310
Corpus Christi State School (Airport Rd),23192
DENALI NATIONAL PARK,23163
3317 Ross Ave,23121
Gregg Co Airport near Longview,23117
16822 Kitzman,23101
FAA Site off Alta Vista Road,23096
LFC #1-LAS FLORES CANYON,23068
9860 La Branch,22977
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",22959
2700 Austin Ave,22945
1086 Vermont Avenue,22898
250 Rim Rd,22892
6655 Bluebird Lane,22890
"UCSB WEST CAMPUS-ARCO TANK, ISLA VISTA",22885
9101 W. 57TH AVE.,22880
"Northeast entrance, Pinnacles National Park",22842
"GOBERNADOR RD, CARPINTERIA",22834
4510 1/2 Aldine Mail Rd,22834
SHENANDOAH NP BIG MEADOWS,22816
623 Ellias Street,22720
708 S. Mason St.,22622
2105 BROADWAY,22605
"HS & P FACILITY-500 M SW, LOMPOC",22566
3174 E. 78TH AVE.,22541
1415 Hinton Street,22468
9525 1/2 Clinton Dr,22428
106 Mockingbird Lane,22335
"500 M SOUTH OF HS&P FACILITY, LOMPOC",22117
EVERGLADES NP,22077
ROCKY MOUNTAIN NP,22038
13826 1/2 Croquet,21720
"CANYONLANDS NATIONAL PARK, UTAH",21580
6590 Hillcrest Road,21524
1262 1/2 Mae Drive,21456
GREAT SMOKY MOUNTAINS NP LOOK ROCK,21390
"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",21272
INT. PAPER CO.-LAGOON HILL,21262
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",21126
1061-A Leesville Ave,21037
"545 CENTRAL AVENUE, OXNARD, CA  93030",20996
8100 S. UNIVERSITY BLVD,20934
"2323 Moorpark Road, Thousand Oaks, CA  91360",20877
16600 W COLO #128,20876
CARUS TRAILER/SPANGLER RD,20862
12400 W. HWY 285,20845
"MORRO BAY BLVD & KERN AVE, MORRO BAY",20754
"CRATERS OF THE MOON NATIONAL MON, IDAHO",20659
"2300 VICTORIA DR., ALPINE",20490
Springfield CITY HALL/225 N 5TH,20458
"380 N FAIRVIEW AVENUE, GOLETA",20426
"STS POWER PLANT, VANDENBERG AFB",20305
"128 S 'H' ST, LOMPOC",20256
2200 N. 22ND,20206
CHIRICAHUA NATIONAL MOUMENT,20198
"MESA VERDE NATIONAL PARK, COLORADO",20194
344 Porter Drive,20186
"MARK TWAIN STATE PARK: 20057 State Park Office Road, Stoutville, MO 65283",20015
JOSHUA TREE NATIONAL MONUMENT,19956
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",19835
"TRAILER,185 DINGENS STREET (near WEISS ST.)",19834
