cbsa_name,count
"Houston-The Woodlands-Sugar Land, TX",522263
"Dallas-Fort Worth-Arlington, TX",428859
"Santa Maria-Santa Barbara, CA",401275
"St. Louis, MO-IL",311636
"Denver-Aurora-Lakewood, CO",263664
"Los Angeles-Long Beach-Anaheim, CA",241185
"Detroit-Warren-Dearborn, MI",225112
"Riverside-San Bernardino-Ontario, CA",221838
"Phoenix-Mesa-Scottsdale, AZ",217824
"Chicago-Naperville-Elgin, IL-IN-WI",216732
"Sacramento--Roseville--Arden-Arcade, CA",200858
"El Paso, TX",195375
"San Diego-Carlsbad, CA",184708
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",178037
"Beaumont-Port Arthur, TX",164919
"Bakersfield, CA",153928
"Oxnard-Thousand Oaks-Ventura, CA",143569
"San Antonio-New Braunfels, TX",108785
"Bishop, CA",105269
"Corpus Christi, TX",105055
"Portland-Vancouver-Hillsboro, OR-WA",95354
"New York-Newark-Jersey City, NY-NJ-PA",90760
"Tucson, AZ",90490
"Fresno, CA",87583
"Las Vegas-Henderson-Paradise, NV",85088
"Colorado Springs, CO",83169
"Austin-Round Rock, TX",83035
"Kansas City, MO-KS",78640
"Visalia-Porterville, CA",77794
"Baltimore-Columbia-Towson, MD",77292
"Grand Rapids-Wyoming, MI",71698
"Buffalo-Cheektowaga-Niagara Falls, NY",66281
"El Centro, CA",62934
"Baton Rouge, LA",61896
"Chico, CA",57044
"Tulsa, OK",56594
"Washington-Arlington-Alexandria, DC-VA-MD-WV",48444
"Seattle-Tacoma-Bellevue, WA",48052
"Stockton-Lodi, CA",48040
"Charlotte-Concord-Gastonia, NC-SC",47687
"Fort Collins, CO",47195
"Eugene, OR",46817
"Davenport-Moline-Rock Island, IA-IL",45618
"Indianapolis-Carmel-Anderson, IN",44976
"Jackson, WY-ID",43670
"Louisville/Jefferson County, KY-IN",42059
"Flint, MI",40303
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39699
"Bangor, ME",39556
"Knoxville, TN",39540
"Brownsville-Harlingen, TX",38356
"Hilo, HI",38256
"Pittsburgh, PA",37431
"Atlanta-Sandy Springs-Roswell, GA",37028
"Oklahoma City, OK",34790
"McAllen-Edinburg-Mission, TX",34477
"Lewiston, ID-WA",34369
"Jamestown-Dunkirk-Fredonia, NY",33845
"Odessa, TX",33720
"San Jose-Sunnyvale-Santa Clara, CA",33142
"Laredo, TX",32668
"Kalamazoo-Portage, MI",32550
"Providence-Warwick, RI-MA",32236
"Grand Junction, CO",32233
"Hanford-Corcoran, CA",32023
"Columbia, SC",31369
"Modesto, CA",30754
"Albany-Schenectady-Troy, NY",30448
"Sevierville, TN",29434
"Yuba City, CA",28381
"Evansville, IN-KY",26724
"Rock Springs, WY",26626
"Burlington-South Burlington, VT",26622
"Longview, TX",26213
"Hartford-West Hartford-East Hartford, CT",25743
"La Grande, OR",25172
"Milwaukee-Waukesha-West Allis, WI",25080
"Bismarck, ND",25072
"Fort Wayne, IN",24019
"Decatur, IL",24001
"Muscatine, IA",23822
"Sonora, CA",23364
"Boston-Cambridge-Newton, MA-NH",23333
"Bowling Green, KY",23034
"Redding, CA",22959
"Flagstaff, AZ",22854
"South Bend-Mishawaka, IN-MI",22811
"Madera, CA",22726
"Muskegon, MI",22375
"Victoria, TX",22335
"Rapid City, SD",22277
"Miami-Fort Lauderdale-West Palm Beach, FL",22077
"Rochester, NY",22006
"Tyler, TX",21486
"Adrian, MI",20677
"Idaho Falls, ID",20659
"Ludington, MI",20594
"Holland, MI",20580
"Niles-Benton Harbor, MI",20570
"Sierra Vista-Douglas, AZ",20198
"Minneapolis-St. Paul-Bloomington, MN-WI",20070
"Hermiston-Pendleton, OR",19531
"Syracuse, NY",19528
"Helena, MT",19509
"Kalispell, MT",19322
"Charleston-North Charleston, SC",19026
"Duluth, MN-WI",18675
"Marshall, TX",18574
"Grants Pass, OR",18400
"Klamath Falls, OR",18382
"Utica-Rome, NY",17978
"Lewiston-Auburn, ME",17876
"Rockford, IL",17748
"Lansing-East Lansing, MI",17514
"Des Moines-West Des Moines, IA",17314
"Greenville-Anderson-Mauldin, SC",17304
