city_name,count
Not in a city,2597562
Houston,236631
El Paso,195375
Corpus Christi,118299
San Antonio,103619
Dallas,94555
Capitan,81668
Phoenix,80664
Denver,71881
Detroit,68430
Lompoc,64939
Gaviota,58493
San Diego,57667
Fort Worth,57255
Arvada,53539
Tucson,50427
Austin,50130
Port Arthur,48978
New York,47905
Portland,41965
Baytown,41356
Nipomo,41168
Fresno,41084
Indianapolis (Remainder),39524
Springfield,39467
Tijuana,38723
Hawaii Volcanoes National Park,38256
Las Vegas,38071
St. Louis,38004
Colorado Springs,37845
Tulsa,36919
Mexicali,35501
Sacramento,35115
Odessa,33720
Beaumont,33674
Laredo,32668
Rochester,32440
Carpinteria,30870
Bakersfield,30218
Chicago,30162
Visalia,30125
Calexico,30027
Midlothian,29966
Grand Rapids,29907
Ciudad-Juarez,29510
Frisco,29040
Port Huron,29018
Buffalo,28242
Vandenberg Air Force Base,27929
Jackson,27699
New Haven,26811
Texas City,26749
Kalamazoo,26331
Port Neches,26060
Decatur,25815
Santa Maria,24769
Stockton,24158
Deer Park,24036
Muscatine,23822
Charlotte,23476
Longview,23377
Sonora,23364
Los Padres National Forest,23310
Tomball,23101
Oak Park,22976
West Orange,22945
Kansas City,22923
Isla Vista,22885
Channelview,22700
Burlington,22648
Fort Collins,22622
Flint,22567
Welby,22541
Alpine,22386
Victoria,22335
Grand Junction,22192
Davenport,22104
La Porte,21846
Goleta,21762
Greenville,21580
Madera,21460
Piru,21204
Simi Valley,21126
Atascadero,21052
Baton Rouge,21037
La Grande,20981
Chula Vista,20954
Southglenn,20934
Muskegon,20917
Thousand Oaks,20877
Lakewood,20845
Jenison,20758
Denton,20756
Morro Bay,20754
Tecumseh,20677
Holland,20580
Coloma,20570
Ojai,20250
Brownsville,20186
Los Angeles,20171
Harbor Beach,20032
Colusa,19870
Ladue,19835
Tyler,19812
Roseville,19724
Placerville,19703
Schiller Park,19697
San Andreas,19695
El Paso de Robles (corporate name for Paso Robles),19692
Quincy,19654
Yuba City,19519
Bangor,19461
East Syracuse,19399
Shafter,19374
El Cajon,19350
Grand Canyon Village,19283
Modesto,19274
Oildale,19263
Long Beach,18994
Grover Beach,18987
Arvin,18717
Dune Acres,18574
San Luis Obispo,18553
Scottsdale,18480
Grants Pass,18400
Mission,18367
West Alton,18182
South Lake Tahoe,18165
Arden-Arcade,18087
Mojave,18052
Galveston,18017
Presque Isle,18013
Anaheim,17950
Leander,17856
Louisville,17836
Pasadena,17827
Mesa,17818
Camp Pendleton South,17784
Loves Park,17748
Otisville,17736
East Saint Louis,17679
Santa Barbara,17674
Lansing,17514
Altamont,17352
Del Mar,17329
Folsom,17250
Clute (corporate name for Clute City),17180
Lakeview,17136
Lamar,17058
Herculaneum,17041
Alsip,17030
Rumford (census name for Rumford Compact),17024
Arlington,17024
Arnold,17014
Scottville,17014
Nilwood,16856
Oakridge,16844
Lisle,16717
Indio,16679
Marana,16406
Escondido,16357
Peoria,16356
Tracy,16271
Middletown,16264
Grapevine,16196
Cleburne,16190
Augusta,16183
Conroe,16164
Elmira,15844
Eagle Mountain,15802
Granbury,15724
Arroyo Grande,15638
Ypsilanti,15597
Weatherford,15578
Clinton,15554
Rockwall,15552
Kaufman,15468
Evanston,15400
Philadelphia,15394
Lone Pine,15392
Amherst,15281
Banning,15065
Seabrook,14878
Pittsburgh,14785
West Los Angeles,14766
Manvel,14764
Westfield,14443
Pendleton,14438
Crestline,14349
Azusa,14316
Fontana,14288
