county_code,count
083,436730
201,418168
029,379004
013,371176
037,291076
019,281566
003,270147
031,257366
005,242045
073,223291
059,222619
079,220986
141,206419
001,199488
113,197626
111,187017
039,178363
065,177567
163,176703
009,172121
007,171784
067,166386
071,165166
027,163862
033,160683
025,158923
099,147529
017,146979
043,146358
077,143103
245,141031
061,123893
439,107529
069,106992
355,105055
049,102787
107,100437
097,95860
139,95310
047,95247
021,94924
041,93597
189,90502
119,84143
015,82779
085,82727
002,82389
121,75777
453,75593
101,75202
051,74528
183,73587
143,69830
081,69244
035,67407
011,66662
089,63433
053,62904
167,59829
057,55326
063,51674
125,51036
055,50828
109,49118
137,45548
045,44453
023,43681
093,43654
135,41526
091,40858
215,40041
147,39239
510,38004
103,35989
161,35197
105,33298
479,32668
115,32017
127,31134
155,30542
006,29510
153,28590
361,26763
251,24372
173,24061
117,23768
068,23163
469,22335
086,22077
129,21680
423,21486
145,19297
213,18898
203,18574
257,17517
339,16164
157,16023
221,15724
123,15703
367,15578
087,15574
397,15552
209,14481
197,13790
186,13582
231,13540
273,13244
349,12946
090,11961
323,11766
177,10842
303,10800
309,10322
159,10282
095,9906
375,9894
133,9811
193,9680
191,9627
223,7377
185,6812
485,6790
169,5946
243,5632
247,5312
211,4582
181,4207
395,3920
020,3907
233,3842
449,3732
227,3714
195,3540
401,3096
187,2820
199,2694
331,2556
165,2474
315,2116
497,1814
493,1586
255,1566
457,1128
171,1072
075,733
465,668
473,642
188,227
151,34
