date_of_last_change,count
2016-05-19,1246215
2016-05-18,824703
2016-05-20,436427
2016-04-30,421884
2016-04-22,335404
2016-04-23,323134
2016-04-27,293776
2013-06-10,288088
2016-04-29,283391
2013-06-11,280547
2016-04-28,260145
2016-04-21,237648
2016-04-26,201742
2016-05-17,161913
2016-04-25,148938
2016-05-04,115012
2014-03-27,87235
2016-05-14,79430
2015-05-01,75028
2016-05-03,72993
2018-03-27,70726
2016-05-11,66055
2016-05-10,64675
2015-03-11,57440
2021-03-19,44191
2020-03-27,42240
2017-01-19,33450
2021-03-30,33218
2022-03-17,33090
2020-04-03,31510
2019-03-04,30807
2017-03-17,30430
2016-05-12,30409
2016-03-02,30170
2022-02-15,28771
2021-03-01,28334
2015-03-09,27977
2020-02-13,26983
2021-02-16,26776
2016-02-02,26515
2015-02-18,25999
2017-03-08,25202
2018-03-20,24738
2016-03-18,24280
2020-03-31,24145
2018-03-09,24034
2019-03-28,23646
2020-02-26,23523
2018-03-22,23207
2020-03-10,23202
2019-03-29,22944
2021-03-29,22056
2017-03-10,21346
2017-03-30,21155
2019-02-18,20942
2018-03-29,20816
2021-02-25,20692
2017-02-15,20393
2016-02-18,20138
2021-03-23,20107
2019-01-25,20088
2022-03-18,19982
2016-01-28,19854
2022-03-28,19730
2022-02-23,19334
2017-02-06,18556
2022-05-02,18472
2016-02-01,18422
2015-02-13,18062
2021-03-08,17866
2022-03-21,17780
2019-03-22,17694
2014-02-18,17269
2021-03-16,17139
2015-01-09,17134
2018-09-12,17036
2017-02-10,17009
2018-04-30,16818
2017-03-06,16787
2019-01-29,16776
2016-03-01,16772
2017-02-22,16735
2015-02-06,16680
2019-04-25,16670
2020-03-23,16634
2018-02-08,16512
2020-03-19,16267
2019-03-21,16196
2016-02-29,16098
2014-01-10,16050
2015-05-14,15900
2018-01-11,15841
2017-06-27,15834
2022-02-01,15722
2019-03-13,15705
2016-05-05,15574
2018-05-09,15371
2021-03-17,15260
2021-03-31,15177
