latitude,count
29.30265,36186
34.54166,23310
27.76534,23192
30.039524,23101
34.48974,23068
42.953336,23058
42.984173,23022
42.463063,22976
40.53999,22959
30.085263,22945
30.036422,22898
29.51509,22890
34.414942,22885
39.800333,22880
36.48324,22842
29.901036,22834
38.5231,22816
29.897516,22720
40.57747,22622
39.751184,22605
39.838119,22541
19.4308,22470
29.733726,22428
25.39122,22077
40.27813,22038
29.623889,21720
38.45832,21580
29.767997,21456
35.63348,21390
34.52744,21272
44.501923,21262
39.567887,20934
43.278061,20917
39.912799,20876
45.25928,20862
39.638781,20845
43.047224,20758
42.894451,20758
35.36631,20754
42.731394,20713
41.995568,20677
43.460556,20659
42.767786,20580
42.19779,20570
44.046696,20458
34.44551,20426
34.63782,20256
39.866834,20206
37.1984,20194
25.892518,20186
43.836388,20032
39.474976,20015
34.06957,19956
30.461981,19879
42.876907,19834
34.276316,19762
63.7232,19756
38.74643,19724
38.725282,19703
38.20185,19695
35.614668,19692
38.53445,19603
39.00512,19597
38.5486,19576
34.25239,19546
39.138773,19519
44.8166,19461
34.210169,19453
37.98178,19440
39.327563,19434
43.05235,19399
35.503587,19374
48.5103,19322
37.950741,19320
38.342606,19289
36.05864,19283
35.438035,19263
34.291257,19171
37.71325,19081
36.332179,19053
37.642165,19048
32.820061,19048
35.12389,18987
35.696758,18926
34.725352,18914
32.482083,18851
35.345607,18834
36.508611,18819
45.496641,18801
34.718871,18467
39.18919,18426
35.356615,18408
34.46245,18389
26.22621,18367
29.670025,18222
35.02083,18192
38.872546,18182
38.944979,18165
38.613779,18087
31.765685,18072
32.676451,18048
44.56536,18010
43.68578,17978
37.13179,17922
33.1324,17886
42.334982,17748
43.168336,17736
38.612034,17679
32.941023,17426
42.190296,17352
32.952124,17329
29.275381,17280
29.723333,17244
33.219069,17240
48.41252,17235
29.010841,17180
35.050551,17170
42.189215,17136
38.56844,17111
42.278067,17094
44.310555,17079
41.670992,17030
43.953334,17014
38.683304,17002
29.695729,16908
39.396075,16856
43.744352,16844
27.517456,16842
32.00941,16830
39.751761,16745
34.5959,16739
29.632058,16733
29.802707,16726
41.813049,16717
29.770698,16686
43.176672,16675
31.785769,16631
32.919206,16462
36.566128,16362
31.746775,16354
38.650329,16350
39.303174,16268
35.49158,16140
31.836577,16122
32.378696,16110
28.836214,16068
27.804489,16046
27.832413,16000
32.922492,15972
31.768286,15948
30.263204,15942
32.631242,15928
32.80581,15906
35.03146,15874
33.217055,15852
34.44806,15848
42.11096,15844
34.403052,15838
30.483163,15834
27.501826,15826
44.37705,15816
32.987891,15802
29.863957,15760
32.344027,15752
32.442304,15724
31.6675,15710
31.893913,15708
38.302591,15697
32.353595,15694
34.404281,15677
42.341987,15628
42.240565,15597
30.354944,15582
32.868773,15578
39.708454,15563
32.936523,15552
46.8943,15471
32.564968,15468
32.552164,15447
32.174538,15443
35.603056,15432
32.842318,15410
42.062053,15400
32.98426,15366
32.791194,15338
45.768531,15309
34.942872,15302
42.99328,15281
30.221255,15251
32.67618,15109
30.700895,15092
29.583047,14878
35.2401,14874
42.738618,14862
32.669001,14816
29.520443,14764
41.965193,14748
30.350302,14728
37.70097,14690
32.65637,14664
37.198286,14568
36.48947,14550
46.698422,14550
38.793341,14458
36.841592,14457
42.29071,14443
38.656429,14438
45.652231,14438
33.70853,14365
41.634104,14362
34.2431,14349
46.288877,14323
31.758532,14322
31.870259,14310
34.10002,14288
29.546244,14220
35.051454,14198
34.06659,14070
32.774262,14062
33.92513,14032
34.19925,14009
27.811817,14000
29.807415,13994
34.10374,13981
34.05111,13956
33.67649,13924
34.46453,13912
41.05192,13907
34.14435,13899
32.836461,13867
36.867125,13840
46.75838,13713
39.87639,13663
29.982531,13630
34.605819,13588
37.90084,13582
46.2094,13542
33.99958,13542
33.153088,13540
38.494475,13530
42.49963,13513
29.043759,13434
34.427775,13430
42.267231,13392
39.064289,13368
45.5609,13331
27.426981,13244
34.05977,13219
34.82251,13198
37.1983,13096
35.750735,13060
42.14403,13048
42.434139,13018
38.75961,12960
39.534488,12933
42.68075,12774
