local_site_name,count
IEPA TRAILER,63640
Big Bend NP - K-Bar Ranch Road,33156
IEPA-RAPS TRAILER,32137
Paradise Road,23310
Corpus Christi West,23192
Fort Worth Northwest,23121
Longview,23117
Northwest Harris County,23101
Keller,23096
Los Flores Canyon #1,23068
Port Huron,23058
Corpus Christi Tuloso,22977
Oak Park,22976
West Orange,22945
Beaumont Downtown,22898
El Paso UTEP,22892
San Antonio Northwest,22890
UCSB West Campus,22885
ARVADA,22880
Carpinteria,22834
Houston Aldine,22834
Port Arthur West,22720
Fort Collins - CSU - S. Mason,22622
DENVER - CAMP,22605
Lompoc HSP,22566
Welby,22541
Hawaii Volcanoes NP - Kilauea Visitors Center,22470
Dallas Hinton,22468
Clinton,22428
Victoria,22335
Lompoc Odor,22117
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,22077
Houston Croquet,21720
Frisco,21524
Houston East,21456
Nojoqui,21272
Simi Valley-Cochran Street,21126
Capitol,21037
El Rio-Rio Mesa School #2,20996
Chula Vista,20954
HIGHLAND RESERVOIR,20934
Thousand Oaks,20877
ROCKY FLATS-N,20876
CARUS TRAILER/SPANGLER RD,20862
WELCH,20845
Jenison,20758
Morro Bay,20754
New Haven,20713
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",20677
Liberty,20638
Holland,20580
Alpine,20490
Springfield - City Hall,20458
Goleta,20426
VAFB South Base,20305
Lompoc H Street,20256
Brownsville,20186
RURAL THUMB AREA OZONE SITE,20032
MTSP,20015
Canyonlands NP - Island in the Sky,19898
Ladue,19835
BUFFALO,19834
Roseville-N Sunrise Ave,19724
Placerville-Gold Nugget Way,19703
San Andreas-Gold Strike Road,19695
Paso Robles,19692
Davis-UCD Campus,19603
Denali NP & PRES - Headquarters,19599
FIRESTATION,19587
Great Smoky Mountains NP - Look Rock,19578
"Labadie ""Plant Site""",19576
Yuba City,19519
Chiricahua NM - Entrance Station,19468
Maine Air National Guard Personnel Office (Building 489),19461
Pinnacles NP - Southwest of East Entrance Station,19454
Sonora-Barretta Street,19440
"TRAFFIC, RURAL PAVED ROAD",19434
Shenandoah NP - Big Meadows,19404
EAST SYRACUSE,19399
Shafter,19374
Lassen Volcanic NP - Manzanita Lake Fire Station,19367
Glacier NP - West Glacier Horse Stables,19322
Stockton-Hazelton,19320
Jackson-Clinton Road,19289
Grand Canyon NP - The Abyss,19283
Oildale,19263
"SITE IN SIMI VALLEY LANDFILL. NEAREST TRAFFIC HWY 118, SO, 1/2 MI.",19171
Joshua Tree NP - Black Rock,19098
Mesa Verde NP - Resource Management Area,19086
Yosemite NP - Turtleback Dome,19081
Visalia-Church,19053
Modesto-14th Street,19048
Craters of the Moon NM & PRES - Visitor Center,19017
Grover Beach,18987
Great Smoky Mountains NP - Cove Mountain,18926
Midlothian OFW,18851
Edison,18834
Portland - SE Lafayette,18801
Calexico-Ethel Street,18758
Great Basin NP - Maintenance Yard,18623
Rocky Mountain NP - Long's Peak,18528
Ojai - East Ojai Ave,18483
Colusa-Sunrise Blvd,18426
Bakersfield-California,18408
El Capitan,18389
Mission,18367
Houston Deer Park #2,18222
Mesa2,18192
West Alton,18182
South Lake Tahoe-Sandy Way,18165
Odessa-Hays Elementary School,18120
Sacramento-Del Paso Manor,18087
El Paso Chamizal,18072
Death Valley NP - Park Village,18063
Dallas Redbird Airport Executive,18048
Yellowstone NP - Water Tank,18010
NICKS LAKE,17978
Mammoth Cave NP - Houchin Meadow,17922
Austin Audubon Society,17856
Corpus Christi Huisache,17788
Camp Pendleton,17784
MAPLE ELEMENTARY SCHOOL,17748
Great Smoky Mountains NP - Cade's Cove,17538
CAPE ROMAIN,17426
Klamath Falls - Peterson School,17352
Del Mar,17329
Calaveras Lake,17280
Houston Westhollow,17244
Denton Airport South,17240
Voyageurs NP - Sullivan Bay,17235
Clute,17180
Mojave,17170
"Lakeview, CENTER & M ST.  (LCM)",17136
Sacramento-1309 T Street,17111
KALAMAZOO FAIRGROUNDS,17094
LOCATED ABOUT 1/4 MILE WEST OF SITE,17079
VILLAGE GARAGE,17030
Folsom-Natoma St.,17002
Houston Bayland Park,16908
Oakridge - (OAK),16844
Laredo Vidaurri,16842
DENVER - CARRIAGE,16745
Camp Bullis,16733
Channelview,16726
MORTON ARBORETUM,16717
Baytown,16686
Ivanhoe,16631
Dallas North #2,16462
Sequoia & Kings Canyon NPs - Lower Kaweah,16362
Escondido,16357
Ascarate Park SE,16354
Atascadero (original site),16140
GR-MONROE,16013
Austin Webberville Rd,16004
Coloma PAW PAW WWTP,15914
Nipomo Regional Park (NRP),15874
ELMIRA,15844
Laredo Bridge,15826
APPROXIMATELY 1/4 MILE SOUTH OF 14 MILE RD - EVANS,15824
MCFARLAND HILL Air Pollutant Research Site,15816
Eagle Mountain Lake,15802
Hamshire,15760
Tyler Airport Relocated,15752
OtisvilleLAKEVILLE MIDDLE SCHOOL,15736
SCOTTVILLE - LOCATED 550 FT NORTH OF US10,15734
Granbury,15724
Socorro Hueco,15710
Skyline Park,15708
MUSKEGON,15708
Elk Grove-Bruceville,15697
Cleburne Airport,15694
Piru - Pacific,15677
Medford MET STATION IS BY ROSSANLY DRIVE AND ROSS LANE (MTV),15628
"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",15597
Austin North Hills Drive,15582
Parker County,15578
Paradise - Airport,15563
Rockwall Heath,15552
PAINTED CANYON,15471
Kaufman,15468
Otay Mesa,15447
SAGUARO PARK,15443
WATER PLANT,15400
Grapevine Fairway,15366
Union Cross,15341
El Cajon,15338
WHALEY PK 3610 IOWA (FLINT),15310
SAUVIE ISLAND-SIS,15309
Santa Maria,15302
El Dorado Springs,15302
AMHERST,15281
Bayou Plaquemine,15251
Pride,15092
Seabrook Friendship Park,14878
Garinger High School,14874
Karnack,14816
Manvel Croix Park,14764
Conroe Relocated,14728
Arlington Municipal Airport,14664
Carthage,14568
Sequoia & Kings Canyon NPs - Ash Mountain,14550
Fresno-Sky Park,14457
WESTFIELD,14443
Blair Street,14438
Pendleton - McKay Creek,14438
Indio,14365
NIPSCO Dunes Acres,14362
Crestline,14349
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",14323
El Paso Sun Metro,14322
Azusa,14316
Odessa Gonzales,14310
Fontana,14288
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,14223
Smith Point Hawkins Camp,14220
Maricopa,14198
Los Angeles-North Main Street,14070
Convention Center,14062
La Habra,14032
Reseda,14009
Dona Park,14000
Houston Kirkpatrick,13994
Upland,13981
West Los Angeles,13956
Lake Elsinore,13924
NIAGARA FALLS,13918
Las Flores Canyon Odor,13912
WHITE PLAINS,13907
Glendora,13899
Pasadena,13887
Kearny Mesa,13867
Madera-Pump Yard,13840
