longitude,count
-103.17781,36186
-119.79146,23310
-97.434262,23192
-148.9676,23163
-95.673951,23101
-120.04692,23068
-82.456229,23058
-83.183199,22976
-121.57646,22959
-93.761341,22945
-94.071061,22898
-98.620166,22890
-119.879511,22885
-105.099973,22880
-121.15688,22842
-95.326137,22834
-78.43471,22816
-93.991084,22720
-105.07892,22622
-104.987625,22605
-104.94984,22541
-155.2578,22470
-96.860117,22468
-95.257593,22428
-80.680819,22077
-105.54564,22038
-95.474167,21720
-109.82126,21580
-96.786419,21524
-95.220582,21456
-83.941606,21390
-120.1965,21272
-70.228196,21262
-104.957193,20934
-86.311083,20917
-105.188587,20876
-122.588151,20862
-105.13948,20845
-85.852734,20758
-83.670159,20758
-120.84271,20754
-82.793463,20713
-83.946559,20677
-113.562222,20659
-86.148577,20580
-86.309694,20570
-123.017704,20458
-119.8284,20426
-120.4575,20256
-109.38906,20198
-108.49046,20194
-97.49383,20186
-82.6429,20032
-91.788991,20015
-116.38893,19956
-91.179219,19879
-118.683685,19762
-121.26498,19724
-120.821916,19703
-120.680277,19695
-120.656912,19692
-121.7734,19603
-114.21593,19597
-90.83725,19576
-85.671339,19566
-119.143182,19546
-121.618549,19519
-118.870509,19453
-120.378551,19440
-121.668811,19434
-76.05921,19399
-119.272606,19374
-113.99681,19322
-121.268523,19320
-120.764426,19289
-112.1836,19283
-119.457914,19268
-119.016787,19263
-118.79765,19171
-119.7062,19081
-119.291228,19053
-120.994212,19048
-120.63215,18987
-83.609612,18926
-120.428717,18914
-97.026899,18851
-118.851825,18834
-116.847778,18819
-122.602877,18801
-115.48307,18758
-120.432663,18467
-121.99887,18426
-119.062613,18408
-120.02551,18389
-98.291069,18367
-95.128508,18222
-120.56388,18192
-90.226488,18182
-119.970609,18165
-121.368014,18087
-106.455227,18072
-96.87206,18048
-110.40034,18010
-89.037775,17748
-83.461541,17736
-90.160477,17679
-83.783611,17538
-79.657187,17426
-121.731369,17352
-117.264088,17329
-98.311692,17280
-95.635833,17244
-97.196284,17240
-92.829225,17235
-95.397744,17180
-118.147294,17170
-120.353969,17136
-121.49311,17111
-85.54189,17094
-84.891865,17079
-87.732457,17030
-86.294415,17014
-121.164457,17002
-95.499219,16908
-89.809739,16856
-122.480487,16844
-99.515222,16842
-105.030681,16745
-120.631315,16739
-98.564936,16733
-95.125495,16726
-88.925594,16708
-95.031232,16686
-85.416608,16675
-106.323578,16631
-96.808498,16462
-118.7777,16362
-106.402806,16354
-90.350313,16350
-94.377014,16268
-86.142953,16174
-120.66804,16140
-102.342066,16122
-94.711813,16110
-97.005525,16068
-97.431553,16046
-97.555387,16000
-78.809526,15988
-97.282099,15972
-106.501243,15948
-97.712891,15942
-117.059088,15928
-97.356529,15906
-120.50103,15874
-117.396177,15852
-119.2313,15848
-76.80221,15844
-97.875084,15834
-68.82035,15828
-99.502984,15826
-68.2609,15816
-97.477175,15802
-94.317802,15760
-95.415754,15752
-97.803529,15724
-106.288,15710
-106.425827,15708
-121.420838,15697
-97.436742,15694
-118.80998,15677
-122.9102,15628
-83.599602,15597
-97.761803,15582
-97.905931,15578
-121.617309,15563
-96.459211,15552
-103.37853,15471
-96.317687,15468
-116.937772,15447
-110.737116,15443
-116.768293,15410
-87.675254,15400
-97.063721,15366
-116.942092,15338
-122.7721,15309
-120.435611,15302
-78.77153,15281
-91.315418,15251
-91.056068,15092
-95.015544,14878
-80.785683,14874
-84.534633,14862
-94.167468,14816
-95.392509,14764
-95.425128,14728
-94.03474,14690
-97.088598,14664
-94.317246,14568
-68.038403,14550
-118.82915,14550
-90.039762,14458
-119.874739,14457
-79.58961,14443
-118.823033,14438
-90.198348,14438
-74.98538,14375
-116.21537,14365
-87.101452,14362
-117.27235,14349
-85.950227,14323
-106.501045,14322
-117.92391,14316
-102.334745,14310
-117.49201,14288
-94.786969,14220
-119.40262,14198
-118.22688,14070
-96.797686,14062
-117.95264,14032
-118.53276,14009
-97.465703,14000
-95.293622,13994
-117.62914,13981
-118.45636,13956
-117.33098,13924
-120.04498,13912
-73.76366,13907
-117.85036,13899
-118.1272,13887
-117.128752,13867
-120.010158,13840
-122.12429,13713
-87.876265,13698
-105.165611,13663
-93.952866,13630
-120.075069,13588
-90.42388,13582
-116.0275,13542
-117.41601,13542
-96.115572,13540
-121.211131,13530
-79.31881,13513
-95.472946,13434
-119.691218,13430
-83.132086,13392
-108.56155,13368
-122.67152,13331
-117.274063,13283
-97.298692,13244
-117.14731,13219
-88.072827,13201
-109.89249,13198
-113.1506,13096
-94.669697,13060
-74.49431,13048
-123.348466,13018
-94.57983,12960
-105.070358,12933
-73.75733,12774
-73.9389,12728
-117.22764,12723
-121.843286,12719
-103.48386,12651
-73.8589,12633
-101.766944,12610
-155.287853,12600
-102.4018,12598
-95.079444,12588
-116.8062,12584
-89.606943,12562
-73.58549,12541
-103.2995,12532
-96.85535,12506
-83.10653,12502
-87.713488,12470
-90.28214,12463
-101.428056,12462
-93.895928,12430
-118.417478,12383
-107.484167,12291
-119.77319,12237
-74.12525,12220
-116.85841,12122
