method_name,count
INSTRUMENTAL - VECTOR SUMMATION,8550357
Instrumental - RM Young Model 05305,551177
Instrumental - Met One Sonic Anemometer Model 50.5,487683
Instrumental - RM Young Ultrasonic Anemometer Model 81000,304837
Instrumental - Climatronics,207520
INSTRUMENTAL - VECTOR SUMMATION LEVEL 4,169409
INSTRUMENTAL - VECTOR SUMMATION LEVEL 1,121078
RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,111688
INSTRUMENTAL - VECTOR SUMMATION LEVEL 2,78442
Instrumental - RM Young Model 05103,76859
Instrumental - RM Young Ultrasonic Anemometer Model 86004,47468
Ultrasonic Wind sensor MD1425A - Vector Average Data Logger,24844
Ultrasonic Wind Sensor MD1425A - Vector Average Data Logger,24785
Instrumental - Vaisala WS425,15369
INSTRUMENTAL - ACOUSTIC SOUNDER,14406
Instrumental - ACOUSTIC SOUNDER,14400
INSTRUMENTAL - VECTOR SUMMATION LEVEL 3,5425
Instrumental - AutoMet,2837
Instrumental - Met One AIO2 Sonic Weather Sensor,118
