site_num,count
0003,535664
0005,463010
0001,440211
0002,440176
0004,383842
0006,317403
0007,309374
0008,217067
0101,211385
0014,207574
0009,203576
0011,191932
1002,181370
0010,157736
0012,146389
3001,137072
1004,134187
0021,131189
0020,130009
0013,124535
1001,117884
2002,101304
8001,97666
2001,97526
1003,94123
0016,91364
0017,91272
0019,88173
1008,86309
0015,84211
2004,78171
5001,73189
0026,68293
6001,65991
0034,65447
0030,64141
0022,63142
1007,59485
0029,55674
2003,53818
1010,52361
4003,52344
0018,52150
1014,51260
1018,48581
1011,47935
0051,47172
0025,46346
3003,45753
0024,45589
0075,44878
0032,44083
0055,43894
1006,43618
1015,40886
0102,40749
1034,40160
0043,39877
1009,39847
0027,39587
0037,39485
0057,39198
1037,38976
2007,38539
9001,38056
1028,37175
4002,36259
1013,35189
9003,35060
4001,34734
0069,33454
1035,33418
9002,33390
0058,32394
1016,32073
3002,32009
1021,31862
1005,31402
0500,31387
1020,31031
0059,30316
0039,30311
1025,29158
2005,28904
0023,28760
4004,28431
0087,27388
1023,27235
0099,26840
0100,26729
1022,26129
0080,26121
0042,26078
0050,25558
2013,24444
0067,24327
0232,23842
0078,23502
2010,23447
0046,23350
2011,22880
7002,22580
0119,22066
0073,21461
0041,21218
2008,20872
0053,20609
0040,19771
0103,19589
1032,19536
0044,19228
0121,19132
0060,18704
1039,18222
1050,17952
0501,17922
0066,17244
0093,17073
0054,17062
2006,16969
0052,16963
0033,16788
0028,16651
8005,15830
0081,15578
3009,15366
3103,15144
1024,14764
3011,14664
0242,14457
0085,14438
1033,14159
1103,14070
1201,14009
0113,13956
0901,13886
5003,13530
1019,13441
1017,13394
2009,13374
1191,13331
9004,13283
0314,13244
4008,13124
0047,13107
0130,13096
9009,13060
0114,13018
1301,12860
0083,12808
0132,12651
1026,12488
0076,12470
9008,12463
1012,12462
0124,12414
3000,12286
1701,12022
0036,11790
0045,11704
0416,11584
0094,11494
8006,11390
0031,11210
4010,11116
8003,11104
0056,10850
0922,10725
0061,10484
1044,10328
4009,10276
4006,10264
6012,10197
4201,10142
2022,9919
0070,9773
0676,9768
3005,9746
0068,9746
1030,9730
1043,9670
0200,9555
9812,9496
0072,9434
4011,9424
1073,9418
9702,9346
1047,9204
1051,9138
4005,9056
5501,8994
9704,8975
0122,8796
4016,8718
0048,8665
5002,8540
6011,8502
0300,8451
6005,8395
0038,8295
0651,8248
0175,8212
6006,8159
0174,8130
6009,8095
0677,8000
0144,7994
1127,7978
0561,7970
0111,7965
0540,7860
0096,7844
0693,7826
6004,7812
0062,7786
0086,7756
0178,7613
6000,7514
5004,7480
0235,7454
0298,7346
1031,6992
0307,6960
0123,6931
1040,6923
2012,6898
9997,6869
2601,6766
1601,6761
7022,6733
7011,6677
6016,6650
1602,6614
1027,6610
7001,6492
0077,6468
5502,6434
0315,6358
4018,6268
1045,6122
1069,5912
8002,5892
1066,5858
1999,5820
0167,5812
1067,5768
1000,5691
1068,5668
0179,5662
2059,5640
0091,5569
2123,5556
3010,5448
0117,5395
0456,5371
3101,5345
0151,5178
0133,5172
0071,5132
0996,5114
1053,5094
1123,4984
0097,4936
1501,4920
1052,4920
6002,4909
1046,4786
6013,4721
1302,4690
0962,4660
3004,4616
4020,4612
1041,4516
0325,4500
0614,4500
5504,4468
0035,4366
2016,4252
4019,4252
1502,4239
0064,4169
1579,4060
5005,3998
1049,3940
1076,3920
1113,3832
1083,3818
1081,3808
1071,3804
1077,3804
1080,3802
0905,3774
0555,3758
1079,3758
1078,3732
1072,3714
0721,3566
0137,3551
6018,3380
0301,3257
1084,3154
1082,3096
0120,3047
0909,3009
0913,2993
0914,2967
9007,2932
5503,2922
0480,2922
0095,2910
1036,2876
1048,2848
1101,2812
0222,2789
0187,2700
0188,2602
9508,2592
7003,2560
1075,2556
0613,2536
0423,2484
0170,2460
3006,2067
1029,2064
0912,2010
0703,2010
0107,1998
0726,1970
0700,1948
0084,1932
5506,1882
0801,1866
0622,1824
0088,1814
1087,1694
0207,1626
1038,1586
1070,1566
0317,1464
1086,1438
0089,1436
1190,1214
0115,1160
7004,948
6003,893
0090,878
0800,868
0900,860
5505,852
2019,824
0711,733
0299,732
0602,732
0092,679
0106,612
4021,582
0118,548
5220,546
0065,540
0082,482
9005,464
0243,464
0244,444
4007,416
3105,396
3104,396
3102,396
3007,380
0903,366
9107,284
0217,184
0109,172
0110,171
6007,168
0063,115
8007,92
0105,64
1090,62
