state_code,count
06,2540308
48,2003432
26,637966
08,556640
29,445400
17,386405
04,365979
36,335460
41,295237
18,239248
23,235964
19,164250
24,161518
56,152357
16,150612
53,141647
37,132351
40,129683
32,122867
21,117652
45,115567
38,112617
80,111899
55,97510
13,83590
49,83413
47,75028
09,65491
22,63042
33,58488
42,54809
15,49044
50,46492
39,46243
30,44637
27,43805
12,42896
46,41548
02,35351
20,33932
51,32354
44,32236
10,28613
01,21157
35,13901
11,12074
05,8654
28,7472
25,7006
34,6796
54,6752
31,5786
78,3907
72,1616
