state_name,count
California,2540308
Texas,2003432
Michigan,637966
Colorado,556640
Missouri,445400
Illinois,386405
Arizona,365979
New York,335460
Oregon,295237
Indiana,239248
Maine,235964
Iowa,164250
Maryland,161518
Wyoming,152357
Idaho,150612
Washington,141647
North Carolina,132351
Oklahoma,129683
Nevada,122867
Kentucky,117652
South Carolina,115567
North Dakota,112617
Country Of Mexico,111899
Wisconsin,97510
Georgia,83590
Utah,83413
Tennessee,75028
Connecticut,65491
Louisiana,63042
New Hampshire,58488
Pennsylvania,54809
Hawaii,49044
Vermont,46492
Ohio,46243
Montana,44637
Minnesota,43805
Florida,42896
South Dakota,41548
Alaska,35351
Kansas,33932
Virginia,32354
Rhode Island,32236
Delaware,28613
Alabama,21157
New Mexico,13901
District Of Columbia,12074
Arkansas,8654
Mississippi,7472
Massachusetts,7006
New Jersey,6796
West Virginia,6752
Nebraska,5786
Virgin Islands,3907
Puerto Rico,1616
