,air_quality_annual_summary,co_daily_summary,hap_daily_summary,lead_daily_summary,no2_daily_summary,nonoxnoy_daily_summary,o3_daily_summary,pm10_daily_summary,pm25_frm_daily_summary,pm25_nonfrm_daily_summary,pressure_daily_summary
state_code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
county_code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
site_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parameter_code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latitude,0.0002523821085313734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longitude,0.0002523821085313734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parameter_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_duration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pollutant_standard,74.26431877273647,0.0,100.0,0.0,0.0,100.0,0.0,0.0,29.113579005674296,100.0,100.0
metric_used,0.0,,,,,,,,,,
method_name,10.702717600068244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year,0.0,,,,,,,,,,
units_of_measure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observation_percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
completeness_indicator,0.0,,,,,,,,,,
valid_day_count,0.0,,,,,,,,,,
required_day_count,0.0,,,,,,,,,,
exceptional_data_count,0.0,,,,,,,,,,
null_data_count,0.0,,,,,,,,,,
primary_exceedance_count,82.0395553431059,,,,,,,,,,
secondary_exceedance_count,83.65631513035788,,,,,,,,,,
certification_indicator,0.0,,,,,,,,,,
num_obs_below_mdl,0.0,,,,,,,,,,
arithmetic_mean,0.0009085755907129441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arithmetic_standard_dev,0.0009085755907129441,,,,,,,,,,
first_max_value,0.0008076227473003948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_max_datetime,0.0008076227473003948,,,,,,,,,,
second_max_value,0.6332771867269221,,,,,,,,,,
second_max_datetime,0.6332771867269221,,,,,,,,,,
third_max_value,1.0919816689826933,,,,,,,,,,
third_max_datetime,1.0919816689826933,,,,,,,,,,
fourth_max_value,1.5573238006928394,,,,,,,,,,
fourth_max_datetime,1.5573238006928394,,,,,,,,,,
first_max_non_overlapping_value,99.35657705251012,,,,,,,,,,
first_no_max_datetime,99.35657705251012,,,,,,,,,,
second_max_non_overlapping_value,99.35670324356438,,,,,,,,,,
second_no_max_datetime,99.35670324356438,,,,,,,,,,
ninety_nine_percentile,0.0,,,,,,,,,,
ninety_eight_percentile,0.0,,,,,,,,,,
ninety_five_percentile,0.0,,,,,,,,,,
ninety_percentile,0.0,,,,,,,,,,
seventy_five_percentile,0.0,,,,,,,,,,
fifty_percentile,0.0,,,,,,,,,,
ten_percentile,0.0,,,,,,,,,,
local_site_name,13.354774034726768,22.150438235186957,13.60429841011733,39.03829539624619,11.328066785830497,7.4370324982207805,8.597810400748616,17.540768323571054,4.976492887626394,6.831208070208965,8.168731464334176
address,0.07155032776864435,0.0,0.10324426011198189,0.0054412643277373446,0.011022801325910726,0.012701911167660021,0.004412998671087662,0.009999080166752628,0.014834073731822234,0.03219382747148702,0.022099154486349352
state_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
county_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_name,18.241749755063164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbsa_name,9.108672202584088,2.3978858251378066,12.022440901971487,5.152877318367265,6.280924469119843,6.589395860269323,9.424822464078817,10.246675459834496,7.120596350847983,11.346704539202998,12.777377537535415
date_of_last_change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
