,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,900526.0,13443.820317236816,8188.104075898894,12128.0,12128.0,12128.0,12128.0,85129.0,parameter_code
poc,900526.0,1.5421187172830102,1.2624980444355662,1.0,1.0,1.0,2.0,9.0,poc
latitude,900526.0,37.7072587555795,4.785774872519095,0.0,34.06659,38.267085,40.69,67.5701,latitude
longitude,900526.0,-91.79285322920606,14.791609479857726,-162.968,-96.829168,-89.747114,-81.02329,0.0,longitude
observation_count,900526.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,observation_count
observation_percent,900526.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,900526.0,0.23347238624981387,1.0924031983240583,-0.007,0.009,0.04,0.153,147.9,arithmetic_mean
first_max_value,900526.0,0.23347238624981387,1.0924031983240583,-0.007,0.009,0.04,0.153,147.9,first_max_value
first_max_hour,900526.0,0.040981604084723816,0.7528147482227786,0.0,0.0,0.0,0.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,900526.0,160.9510930278526,190.12617353297384,43.0,92.0,92.0,110.0,910.0,method_code
