,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,7872831.0,42601.81372685378,1.0613420901740536,42600.0,42601.0,42601.0,42603.0,42603.0,parameter_code
poc,7872831.0,1.1739729964989722,0.5966410341236863,1.0,1.0,1.0,1.0,9.0,poc
latitude,7872831.0,37.249526342166405,4.740287709774559,18.198712,33.92288,37.482934,40.736389,64.84569,latitude
longitude,7872831.0,-98.37878858453043,17.244247721175576,-158.088613,-117.274063,-95.976537,-83.000138,-66.052237,longitude
observation_count,7872831.0,22.928850371613464,2.202562256417339,1.0,23.0,24.0,24.0,24.0,observation_count
observation_percent,7872831.0,95.63251935675997,9.151001302233741,4.0,96.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,7872831.0,13.754063887116208,58.28380654158569,-8.4375,1.416667,5.545455,15.878947,28337.5,arithmetic_mean
first_max_value,7872831.0,40.297393043239445,163.71240132652744,-8.3,5.0,17.0,48.0,84300.0,first_max_value
first_max_hour,7872831.0,9.579435021531644,6.711472328931662,0.0,6.0,7.0,14.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,7872831.0,143.03192701583458,187.5622227363264,14.0,74.0,74.0,99.0,699.0,method_code
