,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,11171542.0,44201.0,0.0,44201.0,44201.0,44201.0,44201.0,44201.0,parameter_code
poc,11171542.0,1.329307180691797,1.4267343874121514,1.0,1.0,1.0,1.0,9.0,poc
latitude,11171542.0,37.23623831179804,4.886707405279294,18.177939,33.915659,37.7046,40.68742,64.84569,latitude
longitude,11171542.0,-95.28979675703474,16.58690849218443,-158.088613,-111.660502,-90.44917,-81.86457,-64.795972,longitude
observation_count,11171542.0,16.763532285874234,1.356984732822847,1.0,17.0,17.0,17.0,17.0,observation_count
observation_percent,11171542.0,98.62039090037884,7.930584087942294,6.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,11171542.0,0.03169478337171359,0.013054800465826164,-0.003444,0.022471,0.031176,0.040118,0.258118,arithmetic_mean
first_max_value,11171542.0,0.0420282135626398,0.01561299027530962,-0.003,0.031,0.041,0.051,0.337,first_max_value
first_max_hour,11171542.0,10.80706665203425,3.2217496723710197,7.0,9.0,10.0,11.0,23.0,first_max_hour
aqi,11171532.0,43.43034849651776,25.7397994913124,0.0,29.0,38.0,47.0,300.0,aqi
method_code,0.0,,,,,,,,method_code
