,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,12546228.0,42401.0,0.0,42401.0,42401.0,42401.0,42401.0,42401.0,parameter_code
poc,12546228.0,1.2001337772595875,0.6402048791761755,1.0,1.0,1.0,1.0,9.0,poc
latitude,12546228.0,38.21464621397143,5.7057593890046086,0.0,35.248754,39.474976,41.6637,64.84569,latitude
longitude,12546228.0,-90.22674191083449,16.321785095324362,-159.36624,-95.976537,-86.217211,-80.071337,0.0,longitude
observation_count,12546228.0,15.34858469015548,8.010528443993506,1.0,8.0,8.0,24.0,24.0,observation_count
observation_percent,12546228.0,95.16290896355463,9.188280662137837,4.0,92.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,12546228.0,3.7985830815123873,6.7826637914347545,-4.0,0.454545,1.7,4.725,1170.485714,arithmetic_mean
first_max_value,12546228.0,10.706960570141053,24.691441993463652,-4.0,1.0,4.0,11.6,7131.0,first_max_value
first_max_hour,12546228.0,9.923101827896001,6.750029947495114,0.0,5.0,10.0,14.0,23.0,first_max_hour
aqi,6276084.0,16.342746209260426,25.294960447728936,0.0,1.0,7.0,20.0,200.0,aqi
method_code,6276084.0,100.21944033891197,152.21241015206337,5.0,39.0,60.0,92.0,600.0,method_code
