,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,10808702.0,61103.50274306758,0.499992498652818,61103.0,61103.0,61104.0,61104.0,61104.0,parameter_code
poc,10808702.0,1.0628042109034,0.42060485673738596,1.0,1.0,1.0,1.0,14.0,poc
latitude,10808702.0,37.30235857771533,5.417408895011106,18.334399,33.379078,37.348497,41.603159,67.0931,latitude
longitude,10808702.0,-100.93729935981109,16.28062619161111,-158.088613,-117.27235,-97.712891,-87.8102,-64.79597199999999,longitude
observation_count,10808702.0,23.793690028645436,1.433143609355144,1.0,24.0,24.0,24.0,48.0,observation_count
observation_percent,10808702.0,99.14660668783357,5.951067281081462,4.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,10808702.0,96.60301272799246,101.69551784568041,0.0,3.908333,31.291667,187.208333,1942.4,arithmetic_mean
first_max_value,10808702.0,153.97014087352937,153.94512360489387,0.0,7.6,56.0,329.0,29131.3,first_max_value
first_max_hour,10808702.0,11.966334625563736,6.539174183088618,0.0,7.0,13.0,17.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,10808702.0,28.89370370281279,20.837818829301288,20.0,20.0,20.0,20.0,130.0,method_code
